Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Jacksonville, FL..........................................................................................................................................",65.8,68.2,71.8,66.7
"Kansas City, MO-KS.............................................................................................................................................",66.6,66.2,60.3,62.3
"Knoxville, TN.............................................................................................................................................",54.8,70.9,74.1,63.4
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",58,59,55.8,58.1
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",61.2,65.7,63.9,67.7
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",48.3,48.6,46.8,47.8
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",71.3,73,73.9,67.7
"Memphis, TN-AR-MS.............................................................................................................................................",67.4,60.7,57.5,57.2
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",62.4,58.7,58.3,58.3
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",55.8,58.8,60.7,52
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",70.8,77,76.6,75.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",65.4,63.4,63.1,70.7
"New Haven-Milford, CT..............................................................................................................................................................",60.2,61.4,61.3,61.2
"New Orleans-Metairie, LA.18....................................................................................................................................",69.7,65.4,61.7,67.9
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",51.8,49.7,50.3,50.9
"North Port-Bradenton-Sarasota, FL.......................................................................................................",78.6,88.1,79.5,79.8
"Oklahoma City, OK.............................................................................................................................................................................",63.6,62.6,62.5,59.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",67,65.6,70.1,71.3
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",64.7,61.7,63,62.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",71.3,69.5,68.9,69.5
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",66.1,64.6,63.9,66.3
"Pittsburgh, PA.....................................................................................................................................................................................................",67.6,73.5,66.3,69.2
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",63.4,65.6,64.6,62.8
"Providence-Warwick, RI-MA23.........................................................................................................................",67,58.8,63.3,67.3
"Raleigh, NC24............................................................................................................................................................................",59.8,58.3,66.3,66.2
"Richmond, VA.........................................................................................................................................................................",65.3,67.4,62.5,64.4
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61.9,63.6,62.1,62.2
"Rochester, NY...........................................................................................................................................................................................",75.5,66.9,67.4,66.5
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",66,59.3,65.6,62.1
"St. Louis, MO-IL..................................................................................................................................................................................",73.1,76.7,72.5,73
"Salt Lake City, UT....................................................................................................................................................................",69.2,66.1,57.3,64.5
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",62.9,57.5,65.3,65.1
"San Diego-Carlsbad, CA27.................................................................................................................................",50.6,51.6,55,52.9
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56,57.2,52.9,52.9
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",51.1,46.7,49.2,46.7
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",56,59.8,56.5,59.7
"Syracuse, NY………………………………………….",65.1,67.2,69.4,69.3
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",70.9,67.8,69.7,64.7
"Toledo, OH………………………………………………..",68.1,51.5,61.9,60
"Tucson, AZ ..........................................................................................................................................................................................................",60.7,71.5,63.5,58.1
"Tulsa, OK....................................................................................................................................................................................................",67.5,62.9,60,65.2
"Urban Honolulu, HI29..................................................................................................................................",59.5,55.9,54,54.4
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",65.3,64.7,63.3,64.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",65.5,66,66.3,65.6
"Worcester, MA.........................................................................................................................................................................................",60,72,68.9,73.4
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2020,Second         Quarter       2020,Third         Quarter       2020,Fourth         Quarter       2020
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",71.9,71.7,68.5,66.4
"Albany-Schenectady-Troy, NY .....................................................................",62.9,57.7,62.3,73.1
"Albuquerque, NM...................................................................................................",70.9,77.2,66.9,63.1
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",73.1,69.3,61.4,71.9
"Atlanta-Sandy Springs-Roswell, GA1....................................................",63.7,68.3,66.6,67
"Austin-Round Rock, TX.....................................................................................................",60.2,66.3,73.4,61.6
"Baltimore-Columbia-Towson, MD2.....................................................................................................",68.3,71,70.6,72.8
"Baton Rouge, LA……………………………………….",68.4,75.4,72.9,71.6
"Birmingham-Hoover, AL......................................................................................................",73.7,77.3,75.9,77.1
"Boston-Cambridge-Newton, MA-NH3...................................................................................",62.8,61.5,60.7,59.7
"Bridgeport-Stamford-Norwalk, CT.....................................................................",70.2,64.1,63.8,63.3
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",66.2,72.7,67.9,73.2
"Cape Coral-Fort Myers, FL...................................................................................",74.5,82.5,73.8,79.2
"Charleston-North Charleston-Summerville, SC....................................................................................................",72.1,80.2,76.7,73.7
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",71.3,74.4,72.7,74.9
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",65.4,64.7,65.5,68.4
"Cincinnati, OH-KY-IN7............................................................................................",65.5,71.3,74,74.1
"Cleveland-Elyria, OH8..............................................................................................",65.4,64.6,69.4,65.7
"Columbia, SC………………………………………….",62.5,70.8,75.6,70
"Columbus, OH............................................................................................................................................",67.9,69.7,60.9,64.3
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",61.9,64.2,68.9,63.7
"Dayton, OH...........................................................................................................................................................",75.6,73.8,69.4,66.8
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",63.5,66.1,64.5,56.9
"Detroit-Warren-Dearborn, MI10....................................................................................................................",72.2,72.4,70.6,72
"Fresno, CA………………………………………………",56.8,56,59.9,55.8
"Grand Rapids-Wyoming, MI....................................................................................................................................",67.6,68.6,76.3,74.3
"Greensboro-High Point, NC............................................................................................................................",66.1,67.8,62.8,66.9
"Hartford-West Hartford-East Hartford, CT................................................................................",67.4,70.9,69.8,72.4
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",65.6,66.2,67,62.2
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",68.4,68.3,71.5,71.9
"Jacksonville, FL..........................................................................................................................................",60.5,69.9,66,62.5
"Kansas City, MO-KS.............................................................................................................................................",66.8,71.6,66.6,61.9
"Knoxville, TN.............................................................................................................................................",62.9,74.9,75.1,60.3
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",61.2,60,53.3,54.7
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",62.5,69.3,72.3,66.5
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",48.8,48.3,48.5,48.3
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",64.3,73.8,71.9,66.8
"Memphis, TN-AR-MS.............................................................................................................................................",62.7,69.8,58.7,59.4
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",61.7,59.8,60.4,60.5
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",58.1,57.3,63.2,55.5
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",73.1,76,70.5,72.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",67.3,70.6,71.5,69.6
"New Haven-Milford, CT..............................................................................................................................................................",58.3,64.4,69.1,62
"New Orleans-Metairie, LA.18....................................................................................................................................",66,67.8,65.7,65.9
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",51,51,50.9,50.5
"North Port-Bradenton-Sarasota, FL.......................................................................................................",71.5,78.6,77.9,75.5
"Oklahoma City, OK.............................................................................................................................................................................",68.3,68.7,68.9,67.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",67,67.8,71,68.5
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",62,66.2,65,63.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.8,70.3,69.1,71.3
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",64.2,69.8,69.4,68.3
"Pittsburgh, PA.....................................................................................................................................................................................................",74.1,70.7,66.6,68
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",60.1,63.9,65.9,60.1
"Providence-Warwick, RI-MA23.........................................................................................................................",62.7,63.8,63.1,69.8
"Raleigh, NC24............................................................................................................................................................................",64,70.2,73.8,64.2
"Richmond, VA.........................................................................................................................................................................",69.9,74.3,66,56.3
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",62,67.8,67.6,65.8
"Rochester, NY...........................................................................................................................................................................................",73,64.7,61.8,70.1
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",59,64.8,66.3,63.1
"St. Louis, MO-IL..................................................................................................................................................................................",68.4,74,72.3,69.3
"Salt Lake City, UT....................................................................................................................................................................",70.4,69.8,68.1,63.8
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",63.2,66.3,65.1,62.2
"San Diego-Carlsbad, CA27.................................................................................................................................",57,56.5,61.5,56.3
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",51.2,56,53,51.6
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",53.1,49.3,54.6,53.7
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",58.5,61.4,59,58.5
"Syracuse, NY………………………………………….",77.5,76.4,65.9,65.3
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",71.8,71.1,76.7,69.3
"Toledo, OH………………………………………………..",67.4,64.6,59.2,62.5
"Tucson, AZ ..........................................................................................................................................................................................................",58.1,76,73.2,61
"Tulsa, OK....................................................................................................................................................................................................",73.3,73.2,71.2,62.1
"Urban Honolulu, HI29..................................................................................................................................",61.1,57.2,53.9,55.6
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",58.3,60.6,72.7,71.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",67.4,70.4,67.6,66.1
"Worcester, MA.........................................................................................................................................................................................",61.7,71.4,71.3,59.2
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2019,Second         Quarter       2019,Third         Quarter       2019,Fourth         Quarter       2019
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",68.3,75,67.8,72
"Albany-Schenectady-Troy, NY .....................................................................",60.9,54.7,67.4,61.8
"Albuquerque, NM...................................................................................................",72.1,71.7,68.9,67.2
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",70.5,68.9,61.3,70.4
"Atlanta-Sandy Springs-Roswell, GA1....................................................",62.6,65.5,64.6,64.1
"Austin-Round Rock, TX.....................................................................................................",58.8,60.3,58.9,58.1
"Baltimore-Columbia-Towson, MD2.....................................................................................................",62.4,65.8,66.3,71.7
"Baton Rouge, LA……………………………………….",66.1,70.9,68,59.3
"Birmingham-Hoover, AL......................................................................................................",63,66.4,66.8,70.6
"Boston-Cambridge-Newton, MA-NH3...................................................................................",60.9,61.8,59.6,61.2
"Bridgeport-Stamford-Norwalk, CT.....................................................................",66.5,58.1,63.3,63.1
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",61.1,71.5,66,66.7
"Cape Coral-Fort Myers, FL...................................................................................",70.5,76,69.3,72.5
"Charleston-North Charleston-Summerville, SC....................................................................................................",73.1,68,69.5,71.8
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",70.8,73.8,71.9,72.8
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",65.1,62,61.8,64.9
"Cincinnati, OH-KY-IN7............................................................................................",69.2,66.5,68.2,65.9
"Cleveland-Elyria, OH8..............................................................................................",63.8,60.4,69.5,64
"Columbia, SC………………………………………….",69,67.4,64.4,63.6
"Columbus, OH............................................................................................................................................",67.8,66.6,63.4,64.8
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",59,59.2,61.3,63.2
"Dayton, OH...........................................................................................................................................................",67.4,68.7,65,64.5
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",64.9,63.2,64.4,61.5
"Detroit-Warren-Dearborn, MI10....................................................................................................................",68.1,68.4,71.1,73.1
"Fresno, CA………………………………………………",48,45,47.9,54.9
"Grand Rapids-Wyoming, MI....................................................................................................................................",76.4,69.8,75.2,79.3
"Greensboro-High Point, NC............................................................................................................................",70.6,59.3,57.5,59.3
"Hartford-West Hartford-East Hartford, CT................................................................................",60.4,60.9,63,66.7
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.6,57.4,63.3,63.8
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",65.7,68.8,67.2,63.4
"Jacksonville, FL..........................................................................................................................................",60.6,64.7,65.2,61.8
"Kansas City, MO-KS.............................................................................................................................................",67.6,64.1,64.1,64.5
"Knoxville, TN.............................................................................................................................................",70.1,72.9,66.2,65.5
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",57.4,54.4,53.8,58.4
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,63,66.3,65.1
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49.8,46.5,48.2,48.2
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",64.6,63.7,66.4,64.9
"Memphis, TN-AR-MS.............................................................................................................................................",65.7,61.1,65.3,62.7
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",62,56.2,58.9,64.7
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",55.1,52.8,58.8,60.8
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",69.1,68.8,70.6,72.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",64.8,68.9,72.8,73.1
"New Haven-Milford, CT..............................................................................................................................................................",57.1,63.2,72.1,67.4
"New Orleans-Metairie, LA.18....................................................................................................................................",63.5,59,56.4,65.6
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.8,50.5,51,50.4
"North Port-Bradenton-Sarasota, FL.......................................................................................................",78,73.4,76.7,68
"Oklahoma City, OK.............................................................................................................................................................................",67.4,64.1,62,64
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",66.9,63,68.9,68.4
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",53.1,54.7,53,63.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",63.6,67.2,69.6,68.9
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",63.7,67.5,67.5,65
"Pittsburgh, PA.....................................................................................................................................................................................................",72.5,71.7,68.9,73.1
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",60.7,61.8,61.6,56
"Providence-Warwick, RI-MA23.........................................................................................................................",61.5,65.5,63.1,64.1
"Raleigh, NC24............................................................................................................................................................................",59.1,60.4,67.6,64.5
"Richmond, VA.........................................................................................................................................................................",64.7,69.7,70.7,60.5
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",60.7,62.6,67.7,66.3
"Rochester, NY...........................................................................................................................................................................................",63.1,59,65,73.9
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",54.9,64.8,67.7,59.5
"St. Louis, MO-IL..................................................................................................................................................................................",66.5,68,69.5,68.3
"Salt Lake City, UT....................................................................................................................................................................",70.2,66.1,69.5,70.8
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",61.5,63.2,60.2,65.2
"San Diego-Carlsbad, CA27.................................................................................................................................",51.7,54.9,61,59.4
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",52.8,51.7,53.8,52.9
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",52.8,51.4,53.7,51.9
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",61,62.4,60.9,61.8
"Syracuse, NY………………………………………….",77.7,67.3,53.1,70.1
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",69.3,66.2,68.1,68.5
"Toledo, OH………………………………………………..",75.9,77.5,66.8,61.1
"Tucson, AZ ..........................................................................................................................................................................................................",55.2,62.5,63.9,59.6
"Tulsa, OK....................................................................................................................................................................................................",72.6,71,70,68.4
"Urban Honolulu, HI29..................................................................................................................................",59.9,58.5,59,58.9
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",66.3,57,61.9,66.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",63.9,64.3,65.4,65.2
"Worcester, MA.........................................................................................................................................................................................",64,67.5,65,54.7
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2018,Second         Quarter       2018,Third         Quarter       2018,Fourth         Quarter       2018
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",73.1,69.3,64.4,56.8
"Albany-Schenectady-Troy, NY .....................................................................",58.2,63.1,68.5,58.8
"Albuquerque, NM...................................................................................................",70.7,67,66.3,67.7
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",71.7,74.8,74.3,67.8
"Atlanta-Sandy Springs-Roswell, GA1....................................................",67.4,62.3,64.9,61.3
"Austin-Round Rock, TX.....................................................................................................",56.1,55.1,54,59.3
"Baltimore-Columbia-Towson, MD2.....................................................................................................",65.2,61.7,64.5,62.5
"Baton Rouge, LA……………………………………….",68.8,68.7,66.6,62.3
"Birmingham-Hoover, AL......................................................................................................",61.2,69.6,67.4,65.3
"Boston-Cambridge-Newton, MA-NH3...................................................................................",59.4,63.1,62.2,59.3
"Bridgeport-Stamford-Norwalk, CT.....................................................................",67.4,61.8,59.1,58
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",65.9,61.8,62.7,62.5
"Cape Coral-Fort Myers, FL...................................................................................",76.9,75.3,72.3,75.9
"Charleston-North Charleston-Summerville, SC....................................................................................................",71.1,70.9,66.2,66.9
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",64.6,67.5,67.2,72.3
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",67.1,64.3,62.6,64.7
"Cincinnati, OH-KY-IN7............................................................................................",65.9,69.1,65.9,68.3
"Cleveland-Elyria, OH8..............................................................................................",64.8,64.4,69.5,68.2
"Columbia, SC………………………………………….",67.4,76.9,69.3,64.4
"Columbus, OH............................................................................................................................................",64.1,62.9,62.9,68.9
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",62,62.2,61.3,62.7
"Dayton, OH...........................................................................................................................................................",66.8,67.6,72.5,52.8
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",53,60.2,62.3,64.9
"Detroit-Warren-Dearborn, MI10....................................................................................................................",65,70,74.2,74.4
"Fresno, CA………………………………………………",50.2,51.3,49.9,47.1
"Grand Rapids-Wyoming, MI....................................................................................................................................",76,75.2,70.4,70.3
"Greensboro-High Point, NC............................................................................................................................",65.8,63.4,55.7,68.5
"Hartford-West Hartford-East Hartford, CT................................................................................",64.9,66.8,65.6,62.7
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",58.1,58.7,62.4,61.5
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64.1,67.4,61.3,64.3
"Jacksonville, FL..........................................................................................................................................",61.8,59.9,60.3,63.3
"Kansas City, MO-KS.............................................................................................................................................",62.8,60.8,66.2,67.7
"Knoxville, TN.............................................................................................................................................",76.9,73.2,61.1,62.7
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",57.8,58.1,57.2,59.2
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",63.6,61.7,62.1,61.6
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",51.9,48.8,47.3,50
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",70.4,66.6,65.9,68.6
"Memphis, TN-AR-MS.............................................................................................................................................",63.5,63.2,64.4,62.9
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",60.6,59,57,63
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",57.2,58.3,67.3,66.3
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",67.1,66.3,68.9,69
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",69.2,67.8,68.1,68
"New Haven-Milford, CT..............................................................................................................................................................",61.3,67.2,70.4,60.7
"New Orleans-Metairie, LA.18....................................................................................................................................",60.8,60.6,60.4,68.4
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",50,49.6,48.8,50.4
"North Port-Bradenton-Sarasota, FL.......................................................................................................",62.4,59.4,62.5,66.3
"Oklahoma City, OK.............................................................................................................................................................................",62.9,66.3,65,64.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",67.6,67.2,69.9,66.4
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.3,59.9,55.4,59.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.6,67.8,68.5,67.7
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",62.8,63.8,67.4,67.1
"Pittsburgh, PA.....................................................................................................................................................................................................",75.4,73.3,69.5,68.6
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",55.8,61.9,61.3,57.9
"Providence-Warwick, RI-MA23.........................................................................................................................",62,61.1,61.7,60.4
"Raleigh, NC24............................................................................................................................................................................",67.8,67.8,61.4,62.6
"Richmond, VA.........................................................................................................................................................................",60,63.8,63,64.5
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61.2,60.1,64.7,63.4
"Rochester, NY...........................................................................................................................................................................................",61.4,59.1,63.9,65.6
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",56.9,62.9,69.5,67.5
"St. Louis, MO-IL..................................................................................................................................................................................",60.5,64.6,68.3,70.5
"Salt Lake City, UT....................................................................................................................................................................",70,68.4,66.7,72.8
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",59.7,65,63.4,69
"San Diego-Carlsbad, CA27.................................................................................................................................",52.6,54.7,59.3,57.8
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56.2,56.4,54.1,55.7
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",49.7,50.2,54.4,47.1
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",62.7,63.1,61.3,63
"Syracuse, NY………………………………………….",58.8,64.6,70.4,74.4
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",63.7,66.5,63.4,66.1
"Toledo, OH………………………………………………..",56.1,68.7,69.6,66.5
"Tucson, AZ ..........................................................................................................................................................................................................",65.4,64.6,59.5,65.8
"Tulsa, OK....................................................................................................................................................................................................",67.9,64.6,71.4,69
"Urban Honolulu, HI29..................................................................................................................................",59.9,54.2,58,58.6
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",60,62.6,60.9,67.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",65.2,61.6,62.6,62.1
"Worcester, MA.........................................................................................................................................................................................",65.2,60.9,64.2,63.3
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2017,Second         Quarter       2017,Third         Quarter       2017,Fourth         Quarter       2017
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",70,68,68.2,64.2
"Albany-Schenectady-Troy, NY .....................................................................",69.3,67.2,60.6,60
"Albuquerque, NM...................................................................................................",66.6,68.1,66,67.4
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",70.8,74.7,74.8,72.1
"Atlanta-Sandy Springs-Roswell, GA1....................................................",64.4,61.1,61.8,62.2
"Austin-Round Rock, TX.....................................................................................................",58.4,57.2,51.9,55
"Baltimore-Columbia-Towson, MD2.....................................................................................................",70.4,67.4,68.4,64
"Baton Rouge, LA……………………………………….",66.1,66.1,65.9,69.3
"Birmingham-Hoover, AL......................................................................................................",62.6,74.7,74.2,71.3
"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.3,58.6,57.5,57.8
"Bridgeport-Stamford-Norwalk, CT.....................................................................",71.1,66.5,65.7,65.8
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",64.1,54.9,65.4,65.2
"Cape Coral-Fort Myers, FL...................................................................................",62.8,64.6,60.4,74.9
"Charleston-North Charleston-Summerville, SC....................................................................................................",76.4,69.5,57.1,65.9
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",65,64.2,62.8,66.5
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.9,63,64.7,63.7
"Cincinnati, OH-KY-IN7............................................................................................",61.5,70,66.7,64.8
"Cleveland-Elyria, OH8..............................................................................................",65.9,67.2,65.7,67.5
"Columbia, SC………………………………………….",72.5,76.3,69.9,64
"Columbus, OH............................................................................................................................................",55.1,56.8,58.1,61.3
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",60.9,61.3,60.7,64.4
"Dayton, OH...........................................................................................................................................................",64,66.4,69.8,54.3
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",56.8,61.3,61,58.1
"Detroit-Warren-Dearborn, MI10....................................................................................................................",67.4,71.2,71.8,70.3
"Fresno, CA………………………………………………",58.8,44.5,46.1,45.9
"Grand Rapids-Wyoming, MI....................................................................................................................................",74.6,73.9,67.6,70.9
"Greensboro-High Point, NC............................................................................................................................",64.7,65.5,61.6,55.8
"Hartford-West Hartford-East Hartford, CT................................................................................",60.2,68.4,72.5,65
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60,56.8,60.7,58.1
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64,68.4,61.1,62
"Jacksonville, FL..........................................................................................................................................",71.5,64.6,63.5,61
"Kansas City, MO-KS.............................................................................................................................................",60.6,62,62.8,63.9
"Knoxville, TN.............................................................................................................................................",68.1,66.2,66.8,62.3
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",54.6,55.5,52.4,55.1
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",63.7,63.1,56.7,60.4
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",50.1,48.3,46.6,51.2
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",71.6,70.9,70.9,73.5
"Memphis, TN-AR-MS.............................................................................................................................................",65.6,59.4,61,64
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",59.1,57.3,57.5,57.9
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",56.1,59.6,68.7,71.7
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",71.5,72.1,68.4,68.6
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",71.1,71.9,68.8,66.2
"New Haven-Milford, CT..............................................................................................................................................................",65.2,61.1,56.2,52.1
"New Orleans-Metairie, LA.18....................................................................................................................................",64.8,60.3,57.6,64.1
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",48.5,49.8,50.3,50.9
"North Port-Bradenton-Sarasota, FL.......................................................................................................",69.3,62.7,63.6,64
"Oklahoma City, OK.............................................................................................................................................................................",62.2,71.8,63.6,61.1
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",64.4,64.5,67.6,65.3
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",56.6,57.6,61.1,63
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.5,66.9,63.9,64
