Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Cape Coral-Fort Myers, FL...................................................................................",70.6,73.7,78.2,84.5
"Charleston-North Charleston-Summerville, SC....................................................................................................",59.4,69.5,76.3,69.3
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",65.1,64.4,58.8,62.1
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",66.5,68.7,68.2,68.6
"Cincinnati, OH-KY-IN7............................................................................................",74.1,73.2,70,72.1
"Cleveland-Elyria, OH8..............................................................................................",59.6,64,71.7,67.4
"Columbia, SC………………………………………….",74.1,66.4,75.5,78
"Columbus, OH............................................................................................................................................",63.2,61.9,59.9,60.8
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",59.6,61.2,61.2,62.3
"Dayton, OH...........................................................................................................................................................",67.4,60.8,68.9,78.8
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",63.9,64.1,64.8,54
"Detroit-Warren-Dearborn, MI10....................................................................................................................",71.3,69.2,71.8,75.5
"Fresno, CA………………………………………………",57.7,51,52.6,51.7
"Grand Rapids-Wyoming, MI....................................................................................................................................",69.7,66.7,65.3,71.4
"Greensboro-High Point, NC............................................................................................................................",72.7,64.2,61,70.2
"Hartford-West Hartford-East Hartford, CT................................................................................",65.8,72.8,67.5,67.4
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",63.8,60.9,61.1,60.6
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",71.9,70,70.6,65.8
"Jacksonville, FL..........................................................................................................................................",65.5,68.2,67.6,66.8
"Kansas City, MO-KS.............................................................................................................................................",62.3,59.2,66.6,72.6
"Knoxville, TN.............................................................................................................................................",70.2,59.8,62.9,70.9
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",61.4,58.4,57.3,57.2
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",68.9,61.2,58.1,58.5
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",48.6,47,49.2,48.5
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",63.5,64.9,71,68.9
"Memphis, TN-AR-MS.............................................................................................................................................",64.5,65.5,53.9,57.2
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",61.3,62.5,60.6,59.1
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",63.1,59.5,61.9,65.9
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",66.5,67.7,67.6,69.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",72.4,70,67.5,76.6
"New Haven-Milford, CT..............................................................................................................................................................",73.7,68.8,65.3,72.6
"New Orleans-Metairie, LA.18....................................................................................................................................",58.5,63.2,66.2,64.5
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",48.6,49.9,50.9,48.1
"North Port-Bradenton-Sarasota, FL.......................................................................................................",83.2,76.7,67.7,77.7
"Oklahoma City, OK.............................................................................................................................................................................",67.2,62.3,64.5,66.1
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",64,65.9,71.3,67.9
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",66.8,60.7,60.1,62.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.7,69.4,69.4,71.7
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",68.5,69.7,70.4,68.9
"Pittsburgh, PA.....................................................................................................................................................................................................",74.8,68.5,67.9,75.5
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",60.7,59.8,60.1,63.8
"Providence-Warwick, RI-MA23.........................................................................................................................",61.5,64.3,64,63
"Raleigh, NC24............................................................................................................................................................................",63.6,66.2,69.2,61.4
"Richmond, VA.........................................................................................................................................................................",65.8,72.3,68.8,54.5
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",67.5,68.4,66.2,62.9
"Rochester, NY...........................................................................................................................................................................................",75.5,74.3,62,67
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",65.5,65.5,61.7,59.3
"St. Louis, MO-IL..................................................................................................................................................................................",65.7,69.4,68.7,69.2
"Salt Lake City, UT....................................................................................................................................................................",60.3,64,57.6,62.2
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",63.4,59.1,65,65.8
"San Diego-Carlsbad, CA27.................................................................................................................................",50,47.6,52,55.9
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56.1,58.2,57.6,53.8
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",51.5,55.2,48,54.3
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",57.6,63.8,62.4,60.9
"Syracuse, NY………………………………………….",64.2,73.8,62.1,60.7
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",69.6,67.5,70.4,68.2
"Toledo, OH………………………………………………..",82.5,68.3,69.9,78.1
"Tucson, AZ ..........................................................................................................................................................................................................",74.1,64.7,71.1,56.7
"Tulsa, OK....................................................................................................................................................................................................",59.9,62.4,67.9,70.8
"Urban Honolulu, HI29..................................................................................................................................",59,57.5,60.4,56.9
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",70.4,69.8,70.4,68.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",65.8,64.3,63.9,62.1
"Worcester, MA.........................................................................................................................................................................................",70.7,76.8,68.2,65.1
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2023,Second         Quarter       2023,Third         Quarter       2023,Fourth         Quarter       2023
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",64.5,57.3,55.3,68.7
"Albany-Schenectady-Troy, NY .....................................................................",79.6,68.3,64.7,73.2
"Albuquerque, NM...................................................................................................",67.2,68.9,69.1,71.3
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.7,73.4,75.2,76.1
