YEAR,MET_NAME,Geography_Description,POPULATION_OTHER,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OTHER,HOUSEHOLDS_RENTED,HOUSEHOLDS_OWNED,BEDROOMS_OTHER,BEDROOMS_RENTED,BEDROOMS_OWNED,TOTAL_POPULATION,TOTAL_HOUSEHOLDS,TOTAL_BEDROOMS,DENSITY_OWNED,DENSITY_RENTED,DENSITY_OTHER,BEDROOM_DENSITY_OWNED,BEDROOM_DENSITY_RENTED,BEDROOM_DENSITY_OTHER,MET2013,AGE_UNDER_18_SHARE,AGE_18_TO_24_SHARE,AGE_25_TO_34_SHARE,AGE_34_TO_49_SHARE,AGE_50_AND_OVER_SHARE,CBSA Title,MET_CODE,Geography_Description_right,Period,CBSA_code,Costar_Geography,rent_growth,inventory_units
2016,"Ithaca, NY",2013_CBSA_CODE,14188.0,40480.0,50352.0,14188.0,16743.0,20940.0,0.0,49662.0,88512.0,105020.0,51871.0,138174.0,2.4045845272206305,2.4177268112046826,1.0,0.5688720173535792,0.8151101445773429,inf,27060,0.135350790513834,0.3689229249011858,0.2400691699604743,0.15017292490118578,0.12828557312252964,"Ithaca, NY",27060,2013_CBSA_CODE,2016 Q4,27060,Ithaca - NY USA,0.0250881053507328,4620
2006,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2013_CBSA_CODE,17706.0,91007.0,148422.0,17706.0,41317.0,60690.0,0.0,125200.0,238538.0,257135.0,119713.0,363738.0,2.4455758774097873,2.2026526611322215,1.0,0.6222153283753532,0.7268929712460064,inf,42020,0.1860626105684178,0.27482501346050303,0.19364444493280736,0.18265627918731525,0.1760304152427835,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2013_CBSA_CODE,2006 Q4,42020,San Luis Obispo - CA USA,0.0558322332799435,7153
2024,,2013_CBSA_CODE,2463796.0,16952820.0,50516313.0,2463796.0,7976317.0,20532224.0,0.0,25348407.0,83962337.0,69932929.0,30972337.0,109310744.0,2.4603429711267517,2.1253944646382537,1.0,0.6016544418004944,0.6687923229258549,inf,,,,,,,,,,,,,,
2020,"St. Joseph, MO-KS",2013_CBSA_CODE,6281.0,31201.0,79905.0,6281.0,14247.0,29520.0,0.0,44515.0,120010.0,117387.0,50048.0,164525.0,2.706808943089431,2.190004913315084,1.0,0.6658195150404133,0.7009098056834775,inf,41140,0.2448318964135765,0.15611679112848947,0.11906669658023782,0.22268517034710425,0.2697028941380084,"St. Joseph, MO-KS",41140,2013_CBSA_CODE,2020 Q4,41140,St. Joseph - MO USA,0.00447312276810408,2576
2017,"New Haven-Milford, CT",2013_CBSA_CODE,29015.0,273802.0,557789.0,29015.0,123581.0,201256.0,0.0,349338.0,812794.0,860606.0,353852.0,1162132.0,2.771539730492507,2.215567117922658,1.0,0.6862612174794598,0.7837738808832706,inf,35300,0.2302758927984456,0.11811089765597037,0.19316513392889753,0.20371655429836158,0.26971315037874083,"New Haven-Milford, CT",35300,2013_CBSA_CODE,2017 Q4,35300,New Haven - CT USA,0.0183633882552385,34429
2018,"Auburn-Opelika, AL",2013_CBSA_CODE,5596.0,56952.0,100976.0,5596.0,24143.0,35193.0,0.0,69181.0,151762.0,163524.0,64932.0,220943.0,2.869206944562839,2.358944621629458,1.0,0.665357599399059,0.8232318122027724,inf,12220,0.22745469869363674,0.26822587442056467,0.20917614833544038,0.11665964320831577,0.18138081191178537,"Auburn-Opelika, AL",12220,2013_CBSA_CODE,2018 Q4,12220,Auburn-Opelika - AL USA,0.0472690425813198,7440
2022,"Erie, PA",2013_CBSA_CODE,13763.0,69403.0,184631.0,13763.0,33425.0,77861.0,0.0,103480.0,321473.0,267797.0,125049.0,424953.0,2.3712898627040495,2.076379955123411,1.0,0.5743281706395249,0.6706899884035562,inf,21500,0.2857945621947178,0.12702620924167543,0.18716770168436522,0.16365286803164128,0.25398037548809127,"Erie, PA",21500,2013_CBSA_CODE,2022 Q4,21500,Erie - PA USA,0.0441796667873859,6938
2018,"Miami-Fort Lauderdale-West Palm Beach, FL",2013_CBSA_CODE,79973.0,2402870.0,3678961.0,79973.0,854121.0,1280303.0,0.0,2488412.0,4967706.0,6161804.0,2214397.0,7456118.0,2.873508068012025,2.8132665043945764,1.0,0.7405754285781002,0.9656238597145489,inf,33100,0.24555593935585363,0.09160503897422666,0.17619887884071964,0.23817102048799976,0.26439299670810323,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2013_CBSA_CODE,2018 Q4,33100,Miami - FL USA,0.023056797683239,153581
2008,"Provo-Orem, UT",2013_CBSA_CODE,14095.0,142868.0,373955.0,14095.0,38699.0,95948.0,0.0,135785.0,486759.0,530918.0,148742.0,622544.0,3.89747571601284,3.6917749812656657,1.0,0.7682549269761832,1.052163346466841,inf,39340,0.27135537699134865,0.3354005095612733,0.25461264943864265,0.08968418400201585,0.058991516644735,"Provo-Orem, UT",39340,2013_CBSA_CODE,2008 Q4,39340,Provo - UT USA,0.0113416435196996,6160
2011,,2013_CBSA_CODE,2524394.0,18612088.0,47877472.0,2524394.0,7696586.0,18726918.0,0.0,24829818.0,75673165.0,69013954.0,28947898.0,100502983.0,2.556612465542915,2.4182264708014696,1.0,0.6326875848261402,0.7495861628949515,inf,,,,,,,,,,,,,,
2024,"Saginaw, MI",2013_CBSA_CODE,6313.0,46390.0,134998.0,6313.0,19922.0,59424.0,0.0,63763.0,244859.0,187701.0,85659.0,308622.0,2.2717757135164245,2.328581467724124,1.0,0.551329540674429,0.7275379138371783,inf,40980,0.3151325716749299,0.14143134296184523,0.15999137745203706,0.185492563052382,0.2127829273550334,"Saginaw, MI",40980,2013_CBSA_CODE,2024 Q4,40980,Saginaw - MI USA,0.0551113560795784,5977
2024,"Waco, TX",2013_CBSA_CODE,7774.0,94250.0,167905.0,7774.0,39090.0,62557.0,0.0,117996.0,258753.0,269929.0,109421.0,376749.0,2.684032162667647,2.4111025837810183,1.0,0.6489006890741363,0.7987558900301706,inf,47380,0.2443819628647215,0.2466631299734748,0.18877453580901857,0.17687002652519893,0.15979840848806365,"Waco, TX",47380,2013_CBSA_CODE,2024 Q4,47380,Waco - TX USA,0.00456288224086165,15350
2021,"Chattanooga, TN-GA",2013_CBSA_CODE,15057.0,163214.0,368973.0,15057.0,71126.0,149758.0,0.0,219737.0,625253.0,547244.0,235941.0,844990.0,2.4637949224749263,2.2947164187498243,1.0,0.5901179202658764,0.7427697656744199,inf,16860,0.26154619089048736,0.1300991336527504,0.19873907875549893,0.1954366659722818,0.23015182521107258,"Chattanooga, TN-GA",16860,2013_CBSA_CODE,2021 Q4,16860,Chattanooga - TN USA,0.106520935893059,25493
2014,"Buffalo-Cheektowaga-Niagara Falls, NY",2013_CBSA_CODE,32029.0,335924.0,768125.0,32029.0,157620.0,312943.0,0.0,497191.0,1304326.0,1136078.0,502592.0,1801517.0,2.454520471779206,2.131227001649537,1.0,0.5889056876885074,0.6756437666812151,inf,15380,0.25406044224288826,0.14256796180088355,0.19451721222657506,0.17658458460842333,0.2431085602695848,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2013_CBSA_CODE,2014 Q4,15380,Buffalo - NY USA,0.00750287296250463,39528
2022,"Santa Fe, NM",2013_CBSA_CODE,2716.0,37433.0,105028.0,2716.0,21413.0,46859.0,0.0,60923.0,182102.0,145177.0,70988.0,243025.0,2.241362385027423,1.7481436510530985,1.0,0.5767536874938222,0.6144313313526911,inf,42140,0.15243234579114684,0.11676862661288168,0.15082948200785404,0.21641332514091843,0.3966286431758074,"Santa Fe, NM",42140,2013_CBSA_CODE,2022 Q4,42140,Santa Fe - NM USA,0.0576126240193844,4696
2006,"Trenton, NJ",2013_CBSA_CODE,14503.0,99346.0,253682.0,14503.0,39627.0,87589.0,0.0,119194.0,370821.0,367531.0,141719.0,490015.0,2.896276929751453,2.507028036439801,1.0,0.6841090445255258,0.8334815510847862,inf,45940,0.23813741871841845,0.1466289533549413,0.2421335534394943,0.19432085841402774,0.19640448533408492,"Trenton, NJ",45940,2013_CBSA_CODE,2006 Q4,45940,Trenton - NJ USA,0.0360199585556984,16013
2022,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013_CBSA_CODE,38636.0,647787.0,1419554.0,38636.0,293888.0,560527.0,0.0,888884.0,2391773.0,2105977.0,893051.0,3280657.0,2.532534561225418,2.204196836890244,1.0,0.5935153545089772,0.7287643832041076,inf,34980,0.2545852263166751,0.1332567649551473,0.23692046922831117,0.20736445776157902,0.18646715664253838,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2013_CBSA_CODE,2022 Q4,34980,Nashville - TN USA,0.0404920056462288,153516
2018,"Akron, OH",2013_CBSA_CODE,17683.0,194187.0,493602.0,17683.0,89337.0,197707.0,0.0,272339.0,826071.0,705472.0,304727.0,1098410.0,2.496633907752381,2.1736458578192686,1.0,0.5975297522852152,0.7130341229129871,inf,10420,0.23821368062743645,0.15874389119766,0.19234037293948616,0.17590260934048108,0.24598454067471046,"Akron, OH",10420,2013_CBSA_CODE,2018 Q4,10420,Akron - OH USA,0.0258777625858784,35375
2014,"Madera, CA",2013_CBSA_CODE,8234.0,61893.0,84572.0,8234.0,17136.0,25759.0,0.0,59255.0,108120.0,154699.0,51129.0,167375.0,3.2832019876548,3.6118697478991595,1.0,0.78220495745468,1.0445194498354569,inf,31460,0.3883476322039649,0.11749309291842373,0.1542016059974472,0.1874848528912801,0.16014735107362707,"Madera, CA",31460,2013_CBSA_CODE,2014 Q4,31460,Madera - CA USA,0.0225969459861517,2521
2014,"Toledo, OH",2013_CBSA_CODE,18122.0,210274.0,420030.0,18122.0,92605.0,166576.0,0.0,287402.0,681875.0,648426.0,277303.0,969277.0,2.521551724137931,2.27065493223908,1.0,0.6159926672777268,0.7316372189476761,inf,45780,0.2715361861190637,0.16882258386676433,0.20141814965235835,0.17401580794582308,0.1983507233419253,"Toledo, OH",45780,2013_CBSA_CODE,2014 Q4,45780,Toledo - OH USA,0.00730333710089326,36213
2019,"Bridgeport-Stamford-Norwalk, CT",2013_CBSA_CODE,18172.0,286883.0,638282.0,18172.0,114667.0,225889.0,0.0,342579.0,977102.0,943337.0,358728.0,1319681.0,2.8256444536918575,2.501879355001875,1.0,0.6532398869309448,0.8374214414777321,inf,14860,0.23354468546410906,0.10736781196515653,0.18200102480802277,0.23822255065653944,0.2568538393700568,"Bridgeport-Stamford-Norwalk, CT",14860,2013_CBSA_CODE,2019 Q4,14860,Stamford - CT USA,0.0247634761035442,33294
2012,"Houma-Thibodaux, LA",2013_CBSA_CODE,3794.0,48907.0,179336.0,3794.0,19285.0,63748.0,0.0,60448.0,251799.0,232037.0,86827.0,312247.0,2.813201982807304,2.5360124449053667,1.0,0.7122188729899642,0.8090755690841716,inf,26380,0.31118244832028136,0.14593003046598646,0.17991289590447176,0.19453248001308607,0.18165088842088045,"Houma-Thibodaux, LA",26380,2013_CBSA_CODE,2012 Q4,26380,Houma-Thibodaux - LA USA,0.0202851612120867,4549
2022,"Providence-Warwick, RI-MA",2013_CBSA_CODE,57971.0,517299.0,1098264.0,57971.0,253187.0,426696.0,0.0,741030.0,1699536.0,1673534.0,737854.0,2440566.0,2.573879295798414,2.0431499247591702,1.0,0.6462140254751885,0.6980810493502287,inf,39300,0.20520047400052968,0.10987649309200288,0.1923723030587726,0.19995399179198103,0.3084193087556713,"Providence-Warwick, RI-MA",39300,2013_CBSA_CODE,2022 Q4,39300,Providence - RI USA,0.0541431941092014,61433
2011,"Bridgeport-Stamford-Norwalk, CT",2013_CBSA_CODE,17516.0,261347.0,646994.0,17516.0,106690.0,224839.0,0.0,307249.0,960569.0,925857.0,349045.0,1267818.0,2.877587962942372,2.449592276689474,1.0,0.6735528629385291,0.850603256642007,inf,14860,0.24397448602815414,0.11183216183847529,0.2080146318878732,0.24471679414724484,0.21515456462098284,"Bridgeport-Stamford-Norwalk, CT",14860,2013_CBSA_CODE,2011 Q4,14860,Stamford - CT USA,0.00592202600091696,21444
2009,"Hilton Head Island-Bluffton-Beaufort, SC",2013_CBSA_CODE,11271.0,47280.0,120071.0,11271.0,16527.0,51208.0,0.0,56561.0,207535.0,178622.0,79006.0,264096.0,2.344770348383065,2.86077328008713,1.0,0.5785578336184258,0.8359116705857393,inf,25940,0.3391497461928934,0.14094754653130287,0.18035109983079525,0.20505499153976312,0.14686971235194585,"Hilton Head Island-Bluffton-Beaufort, SC",25940,2013_CBSA_CODE,2009 Q4,25940,Hilton Head Island - SC USA,-0.0361860357224941,4357
2017,"Fresno, CA",2013_CBSA_CODE,17244.0,449326.0,523265.0,17244.0,143555.0,162265.0,0.0,456103.0,681650.0,989835.0,323064.0,1137753.0,3.224755800696392,3.1299919891330847,1.0,0.7676446856891367,0.9851415140878267,inf,23420,0.3388564205053792,0.1062725059311057,0.18868705572346137,0.1917071346861744,0.18964849574696324,"Fresno, CA",23420,2013_CBSA_CODE,2017 Q4,23420,Fresno - CA USA,0.0448489896953106,52227
2019,"Port St. Lucie, FL",2013_CBSA_CODE,7003.0,113038.0,369287.0,7003.0,42341.0,139573.0,0.0,138153.0,544454.0,489328.0,188917.0,682607.0,2.64583407965724,2.6697054864079734,1.0,0.6782703405613697,0.818208797492635,inf,38940,0.2558254746191546,0.11383782444841557,0.13821900599798298,0.17162370176400857,0.33693979015906156,"Port St. Lucie, FL",38940,2013_CBSA_CODE,2019 Q4,38940,Port St. Lucie - FL USA,0.0337409935891628,9023
2024,"Lafayette, LA",2013_CBSA_CODE,5165.0,134232.0,348434.0,5165.0,60724.0,131766.0,0.0,192867.0,543450.0,487831.0,197655.0,736317.0,2.6443392073827847,2.210526315789474,1.0,0.6411518998987947,0.6959822053539486,inf,29180,0.2413507956374039,0.14310298587520115,0.19187675070028012,0.2334763692711127,0.21338428988616723,"Lafayette, LA",29180,2013_CBSA_CODE,2024 Q4,29180,Lafayette - LA USA,0.00721475295722485,17061
