year,msa,y_hat,real_rent_growth_next_year
2011,Akron - OH,-0.1692887977100907,-0.0117902283594012
2011,Albany - NY,-0.1113573593888432,-0.0133856128007173
2011,Albuquerque - NM,-0.1268862446872518,-0.0082798854485154
2011,Ann Arbor - MI,-0.1677516998592761,0.0263425723612308
2011,Atlanta - GA,-0.3530615928452462,0.0057536398023366
2011,Austin - TX,-0.1570717868148349,0.0078966726511717
2011,Bakersfield - CA,-0.10551592701673529,0.0011594590693711
2011,Baltimore - MD,-0.060643563918768906,-0.0080214480906725
2011,Baton Rouge - LA,-0.1830157895442098,-0.009473423756659
2011,Birmingham - AL,-0.19010593611025253,-0.0090068926140666
2011,Boston - MA,-0.14321218774281388,-0.0042552131265402
2011,Buffalo - NY,-0.1116423697080464,-0.0082489962726831
2011,Charleston - SC,-0.19001025915937522,0.0004734300971031
2011,Charlotte - NC,-0.4231372519265858,0.0091603488624095
2011,Chicago - IL,-0.0726118964944035,-0.0034176281690598
2011,Cincinnati - OH,-0.16109655174519852,-0.0034078939855099
2011,Cleveland - OH,-0.1793736755484712,-0.0082717009857297
2011,Colorado Springs - CO,-0.1802142334695089,0.0058982909619807
2011,Columbia - SC,-0.1883054979247973,-0.0006724356710911
2011,Columbus - OH,-0.16809214599057978,-0.0023799206167459
2011,Corpus Christi - TX,-0.1482372922459616,0.01389076718688
2011,Dallas-Fort Worth - TX,-0.1806376375156684,0.0050403100401162
2011,Dayton - OH,-0.1689388980653018,-0.0080121804997325
2011,Denver - CO,-0.21637735090777246,0.0181650833189486
2011,Des Moines - IA,-0.1735085355453188,-0.0085936973839998
2011,Detroit - MI,-0.25664697296312045,-0.0024606513828039
2011,Durham - NC,-0.19134923111274818,0.010001204624772
2011,East Bay - CA,-0.23033532494306577,0.0203905940949916
2011,El Paso - TX,-0.14670691423676918,-0.0113286844491958
2011,Fort Lauderdale - FL,-0.0958315093871208,0.0044339333623647
2011,Fresno - CA,-0.1033793892115353,-0.013787062190473
2011,Gainesville - FL,-0.1892647122717461,-0.0021922572553158
2011,Grand Rapids - MI,-0.16354113666099132,-0.002407668441534
2011,Greensboro - NC,-0.1883383939261547,-0.0109913417175412
2011,Greenville - SC,-0.18397582176700222,0.005542231440544
2011,Harrisburg - PA,-0.10873437806591389,-0.0095077457875013
2011,Hartford - CT,-0.19096837223193108,-0.0108948213085532
2011,Honolulu - HI,0.07061259681498619,0.0058331449478865
2011,Houston - TX,-0.1042787685859945,0.00626187184453
2011,Indianapolis - IN,-0.1943871818352488,-0.007698524095118
2011,Inland Empire - CA,-0.002240488246083104,-0.0015764723569155
