year,absorption,absorption_delta,msa,occ,occupancy_delta,pop,demolished_pct,rent_growth,real_rentpsf,real_rent_growth,starts_pct,inventory,RDI,real_rent_growth_next_year,real_relative_rent_growth,RDI_growth,supply_growth,real_relative_rg_next_year,supply_5yr_fwd,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,exog_shock,pct_international_mig_
2005,0.003409,,Akron - OH,0.931199491024017,,702445.375,,0.00833279360085726,0.6904163085588004,-0.025667206399142745,,32553,2.7606358232681463,-0.0121024962216616,-0.006535681895911694,,,-0.018465535715222397,0.05132404402342579,-0.07647143068164595,-0.01637509954161951,,,,,,0,0.08
2006,0.003309,-0.00010000000000000026,Akron - OH,0.942174077033997,0.010974586009980025,702640.9375,0.0,0.0198975037783384,0.6855267682359607,-0.0121024962216616,0.012164777439867294,32637,2.7053504343896324,-0.008289297014474901,-0.018465535715222397,-0.02002632452007556,0.002580407335729426,-0.0073675410822034,0.044480862965068625,-0.08637516523152595,0.0013679799158125838,,0.02784024309363531,0.00033791048444075815,false,0.04995681928151592,0,0.08
2007,0.001162,-0.0021469999999999996,Akron - OH,0.945658266544342,0.003484189510345015,703387.5625,0.0,0.0207107029855251,0.6742333594649234,-0.008289297014474901,0.00741489720256151,33537,2.648878978388037,-0.0239686754643917,-0.0073675410822034,-0.020873989293123174,0.027576063976468425,0.005542128812521703,0.02039412575378903,-0.08987609657645229,0.002297899918630655,,0.10625982064986772,0.0004596010662744738,false,0.05494354664758876,0,0.07
2008,-0.002325,-0.0034869999999999996,Akron - OH,0.941963255405426,-0.0036950111389160156,703345.1875,0.0,0.0140313245356083,0.6650159293740641,-0.0239686754643917,0.012523481527864746,33537,2.627329068219737,-0.0180893416553736,0.005542128812521703,-0.00813548310214391,0.0,0.00847736001014705,0.02989066317014645,-0.06661763872951268,-0.010081217857077747,,-0.006024417015482175,0.00032799594477741004,false,0.008996897075296325,0,0.06
2009,0.000793,0.0031179999999999997,Akron - OH,0.935713589191437,-0.006249666213989036,703332.0,0.0,-0.0220893416553736,0.6521590789602758,-0.0180893416553736,0.00229597161344187,34040,2.6452990324188352,-0.01402162032574415,0.00847736001014705,0.006839632087378604,0.014998360020276113,-0.004561511566862466,0.015384372155312041,-0.037776208855211685,-0.009814513148739898,,-0.001874968398785093,0.00026836031845424457,true,-0.04237682441991124,0,0.05
2010,0.003328,0.002535,Akron - OH,0.937332510948181,0.0016189217567440517,703146.4375,0.0004700352526439483,0.00197837967425585,0.641888857244366,-0.01402162032574415,0.0,34250,2.6230259991335285,-0.022006230771541603,-0.004561511566862466,-0.00841985462223546,0.006169212690951821,-0.0007224562577903028,0.02180014427558545,0.006050412505865167,-0.005711452569812429,-0.0506160194501995,-0.02638334385468566,0.0004994124559341951,false,0.011189658644606939,0,0.03
2011,0.00129,-0.002038,Akron - OH,0.94377064704895,0.006438136100768932,702968.3125,0.004262773722627737,0.0099937692284584,0.6293899140108332,-0.022006230771541603,0.0034744525547445258,34104,2.598462338704399,-0.01179022835940123,-0.0007224562577903028,-0.009364627128074178,-0.004262773722627737,-0.00635202229022983,0.0411772037124989,0.027827013857662772,-0.018372182734310526,-0.03995432205819812,-0.025332560971691453,0.0002627737226277372,false,0.01234922451535818,0,0.17
2012,-0.000555,-0.0018449999999999999,Akron - OH,0.947334170341492,0.003563523292542059,702671.0625,0.0,0.00920977164059877,0.6164445778754488,-0.01179022835940123,0.011846117757447807,34223,2.617379796557569,-0.000710217617452099,-0.006437621079385329,0.007280250928171012,0.0034893267651888342,-0.006836988963186699,0.04281045287120322,0.0361497249603272,-0.018191652372479297,-0.011800081836903936,-0.04228497852810653,0.0007330518414262257,true,-0.040354564113943524,0,0.18
2013,-0.001823,-0.001268,Akron - OH,0.947983205318451,0.0006490349769590065,704072.0,0.002133068404289513,0.0142897823825479,0.6216247844122174,-0.000710217617452099,0.0009642637991993688,34548,2.5592605904612515,0.0107520882189274,-0.006836988963186699,-0.02220510992434378,0.00949653741635742,0.0087440647184849,0.03387396697958608,0.03818348813802,-0.019166140817105694,-0.025869708659103804,0.19937315975637748,0.0007012827630540864,false,0.06281682256875572,0,0.27
2014,-0.002083,-0.00026000000000000025,Akron - OH,0.950239419937134,0.0022562146186829724,705015.5,0.0004631237698274864,0.0267520882189274,0.6259005997453089,0.0107520882189274,0.008625680213036934,34565,2.5884733897306047,0.0298050010353327,0.0087440647184849,0.011414546599214497,0.0004920690054417043,-0.00045845098793499683,0.03942706883418188,0.0410497603490948,-0.0320930397137999,-0.021294794147267912,0.13400618118601937,0.0007236308903554475,true,-0.052147728983390804,0,0.24
