year,msa,HOUSEHOLDS_RENTED,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OWNED,RDI,RDI_growth,real_relative_rg_next_year,real_rent_growth_next_year,rrg_5yr_fwd,rrrg_5yr_fwd,absorption,absorption_delta,occ,occupancy_delta,pop,demolished_pct,real_relative_rent_growth,rent_growth,real_rentpsf,real_rent_growth,supply_growth,supply_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,pct_twty_yold,starts_pct,inventory
2005,Akron - OH,79397.0,163430.0,522369.0,196407.0,2.0583901154955475,,-0.0192971844226122,-0.0121024962216616,-0.07647143068164595,-0.017900523263961167,0.003409,,0.931199491024017,,702445.375,,-0.0066907084546983416,0.00833279360085726,0.6904163085588004,-0.025667206399142745,,0.05132404402342579,,,,,,,,32553
2006,Akron - OH,84685.0,176796.0,509175.0,196152.0,2.0876896734958965,0.01423421040539503,-0.0080531090497971,-0.008289297014474901,-0.08637516523152595,0.0004893727600573348,0.003309,-0.00010000000000000026,0.942174077033997,0.010974586009980025,702640.9375,0.0,-0.0192971844226122,0.0198975037783384,0.6855267682359607,-0.0121024962216616,0.002580407335729426,0.044480862965068625,,0.02784024309363531,0.00033791048444075815,true,,,0.012164777439867294,32637
2007,Akron - OH,85996.0,179956.0,501117.0,195671.0,2.092608958556212,0.0023563296416933394,0.005655651446431882,-0.0239686754643917,-0.08987609657645229,0.0019221147522329052,0.001162,-0.0021469999999999996,0.945658266544342,0.003484189510345015,703387.5625,0.0,-0.0080531090497971,0.0207107029855251,0.6742333594649234,-0.008289297014474901,0.027576063976468425,0.02039412575378903,,0.10625982064986772,0.0004596010662744738,true,,,0.00741489720256151,33537
2008,Akron - OH,89346.0,188148.0,491632.0,192386.0,2.105835739708549,0.006320713240883173,0.00847736001014705,-0.0180893416553736,-0.06661763872951268,-0.010148863773793025,-0.002325,-0.0034869999999999996,0.941963255405426,-0.0036950111389160156,703345.1875,0.0,0.005655651446431882,0.0140313245356083,0.6650159293740641,-0.0239686754643917,0.0,0.02989066317014645,,-0.006024417015482175,0.00032799594477741004,true,,,0.012523481527864746,33537
2009,Akron - OH,90232.0,198801.0,486801.0,191536.0,2.2032205869314656,0.04624522482289851,-0.004683241248130797,-0.01402162032574415,-0.037776208855211685,-0.010509402025490975,0.000793,0.0031179999999999997,0.935713589191437,-0.006249666213989036,703332.0,0.0,0.00847736001014705,-0.0220893416553736,0.6521590789602758,-0.0180893416553736,0.014998360020276113,0.015384372155312041,,-0.001874968398785093,0.00026836031845424457,true,,,0.00229597161344187,34040
2010,Akron - OH,87387.0,195128.0,492513.0,194136.0,2.2329179397393206,0.013479064685581932,-0.0009072883985937023,-0.022006230771541603,0.006050412505865167,-0.006225549150258225,0.003328,0.002535,0.937332510948181,0.0016189217567440517,703146.4375,0.0004700352526439483,-0.004683241248130797,0.00197837967425585,0.641888857244366,-0.01402162032574415,0.006169212690951821,0.02180014427558545,0.08263554279645198,-0.02638334385468566,0.0004994124559341951,true,,,0.0,34250
2011,Akron - OH,87361.0,202922.0,482373.0,187334.0,2.3227985027643916,0.04025251507252612,-0.006620367057621529,-0.01179022835940123,0.027827013857662772,-0.018784977495670173,0.00129,-0.002038,0.94377064704895,0.006438136100768932,702968.3125,0.004262773722627737,-0.0009072883985937023,0.0099937692284584,0.6293899140108332,-0.022006230771541603,-0.004262773722627737,0.0411772037124989,0.10865384746358307,-0.025332560971691453,0.0002627737226277372,true,,,0.0034744525547445258,34104
2012,Akron - OH,93437.0,202788.0,484385.0,187451.0,2.170317968256686,-0.06564518374117961,-0.0064153270795940485,-0.000710217617452099,0.0361497249603272,-0.021019588224589693,-0.000555,-0.0018449999999999999,0.947334170341492,0.003563523292542059,702671.0625,0.0,-0.006620367057621529,0.00920977164059877,0.6164445778754488,-0.01179022835940123,0.0034893267651888342,0.04281045287120322,0.04065233408071012,-0.04228497852810653,0.0007330518414262257,false,,,0.011846117757447807,34223
2013,Akron - OH,95552.0,214586.0,474760.0,185774.0,2.2457510046885467,0.03475667507487499,0.0081168217584491,0.0107520882189274,0.03818348813802,-0.021811563521623646,-0.001823,-0.001268,0.947983205318451,0.0006490349769590065,704072.0,0.002133068404289513,-0.0064153270795940485,0.0142897823825479,0.6216247844122174,-0.000710217617452099,0.00949653741635742,0.03387396697958608,0.06908829591470193,0.19937315975637748,0.0007012827630540864,true,,,0.0009642637991993688,34548
2014,Akron - OH,96098.0,208874.0,479137.0,187265.0,2.17355199900102,-0.03214915880558172,-0.0003993883728980463,0.0298050010353327,0.0410497603490948,-0.033451641909778194,-0.002083,-0.00026000000000000025,0.950239419937134,0.0022562146186829724,705015.5,0.0004631237698274864,0.0081168217584491,0.0267520882189274,0.6259005997453089,0.0107520882189274,0.0004920690054417043,0.03942706883418188,-0.009306087713778298,0.13400618118601937,0.0007236308903554475,false,,,0.008625680213036934,34565
2015,Akron - OH,97233.0,213906.0,474524.0,185222.0,2.1999321218104964,0.012136872189669688,-0.01346671674400565,-0.00022962941974400027,0.0284813069626688,-0.0358634898439051,0.0014,0.003483,0.947378516197205,-0.002860903739928977,704402.0,0.0,-0.0003993883728980463,0.0308050010353327,0.646352020749682,0.0298050010353327,0.012584984811225228,0.033518579975330975,-0.010648280209690542,-0.08701936340406169,0.0010415159843772603,true,0.002176078751170799,0.012982643433721085,0.014060465789093013,35000
2016,Akron - OH,97606.0,211013.0,474385.0,187063.0,2.1618855398233716,-0.017294434500921434,-0.008854977786541051,-0.0034675172567368018,0.0592520492821931,-0.028301838785410094,0.00363,0.00223,0.948217928409576,0.000839412212370938,703921.8125,0.0,-0.01346671674400565,0.012770370580256,0.6449926813352551,-0.00022962941974400027,0.015114285714285714,0.03763772062963067,-0.06819522978313809,-0.0681695253562542,0.0006,false,0.003778535243340833,0.012867906405443288,0.012171428571428571,35529
2017,Akron - OH,96375.0,209128.0,477691.0,192907.0,2.169940337224384,0.0037258204713605803,-0.007207302376627998,0.0013235455602407,0.029350004956126205,-0.02119575627148159,-0.002884,-0.006514,0.93643981218338,-0.011778116226195956,704079.0,0.0002814602155985251,-0.008854977786541051,0.0175324827432632,0.6453119409270822,-0.0034675172567368018,0.005122575923893158,0.0443363089277368,0.0011757744294021016,0.022330249923885326,0.000985110754594838,true,0.007522084483457377,0.01287923656294251,0.0001688761293591151,35711
2018,Akron - OH,89337.0,194187.0,493602.0,197707.0,2.1736458578192686,0.0017076601283998493,-0.00352325662970545,0.0136183604300022,0.025270073533058202,0.0015529775992035606,-0.001455,0.001429,0.935973286628723,-0.0004665255546569824,703677.6875,0.0008400772871104142,-0.007207302376627998,0.0253235455602407,0.643454546360269,0.0013235455602407,0.0005600515247402761,0.05484300624406944,-0.03187324051707304,-0.05699822037015245,0.0011201030494805521,true,0.003686958281305913,0.01297753241607508,0.011817087172019826,35731
2019,Akron - OH,94903.0,209490.0,476603.0,190746.0,2.2074117783420966,0.015534232681631035,-0.002811236307024949,0.0172365476489067,,,0.003421,0.004876,0.93692421913147,0.0009509325027469151,702894.25,0.001231423693711343,-0.00352325662970545,0.0316183604300022,0.6516259355926002,0.0136183604300022,0.006045170860037502,,0.015810150970139717,-0.11133470819337798,0.0010914891830623268,true,0.0039008969581648956,0.012502591961735353,0.00568134113235006,35947
