msa,year,pop,RDI,RDI_growth,real_rent_growth,real_relative_rent_growth,real_rent_growth_next_year,real_relative_rg_next_year,spread
Akron - OH,2006,702640.9375,2.0876896734958965,0.01423421040539503,-0.0121024962216616,-0.0192971844226122,-0.008289297014474901,-0.0080531090497971,-0.03353139482800723
Akron - OH,2007,703387.5625,2.092608958556212,0.0023563296416933394,-0.008289297014474901,-0.0080531090497971,-0.0239686754643917,0.005655651446431882,-0.01040943869149044
Akron - OH,2008,703345.1875,2.105835739708549,0.006320713240883173,-0.0239686754643917,0.005655651446431882,-0.0180893416553736,0.00847736001014705,-0.000665061794451291
Akron - OH,2009,703332.0,2.2032205869314656,0.04624522482289851,-0.0180893416553736,0.00847736001014705,-0.01402162032574415,-0.004683241248130797,-0.03776786481275146
Akron - OH,2010,703146.4375,2.2329179397393206,0.013479064685581932,-0.01402162032574415,-0.004683241248130797,-0.022006230771541603,-0.0009072883985937023,-0.01816230593371273
Akron - OH,2011,702968.3125,2.3227985027643916,0.04025251507252612,-0.022006230771541603,-0.0009072883985937023,-0.01179022835940123,-0.006620367057621529,-0.04115980347111982
Akron - OH,2012,702671.0625,2.170317968256686,-0.06564518374117961,-0.01179022835940123,-0.006620367057621529,-0.000710217617452099,-0.0064153270795940485,0.059024816683558086
Akron - OH,2013,704072.0,2.2457510046885467,0.03475667507487499,-0.000710217617452099,-0.0064153270795940485,0.0107520882189274,0.0081168217584491,-0.041172002154469034
Akron - OH,2014,705015.5,2.17355199900102,-0.03214915880558172,0.0107520882189274,0.0081168217584491,0.0298050010353327,-0.0003993883728980463,0.04026598056403082
Akron - OH,2015,704402.0,2.1999321218104964,0.012136872189669688,0.0298050010353327,-0.0003993883728980463,-0.00022962941974400027,-0.01346671674400565,-0.012536260562567734
Akron - OH,2016,703921.8125,2.1618855398233716,-0.017294434500921434,-0.00022962941974400027,-0.01346671674400565,-0.0034675172567368018,-0.008854977786541051,0.003827717756915783
Akron - OH,2017,704079.0,2.169940337224384,0.0037258204713605803,-0.0034675172567368018,-0.008854977786541051,0.0013235455602407,-0.007207302376627998,-0.012580798257901631
Akron - OH,2018,703677.6875,2.1736458578192686,0.0017076601283998493,0.0013235455602407,-0.007207302376627998,0.0136183604300022,-0.00352325662970545,-0.008914962505027848
Akron - OH,2019,702894.25,2.2074117783420966,0.015534232681631035,0.0136183604300022,-0.00352325662970545,0.0172365476489067,-0.002811236307024949,-0.019057489311336485
Akron - OH,2020,700395.1875,2.007687641316936,-0.09047887620458654,0.0172365476489067,-0.002811236307024949,0.0305411128997803,-0.005905065685510649,0.0876676398975616
Akron - OH,2021,696923.1875,2.0141435640930134,0.0032156011937409293,0.0305411128997803,-0.005905065685510649,-0.0333695615828037,-0.001748895272612544,-0.009120666879251579
Akron - OH,2022,698776.625,2.0363193778744764,0.011010046243376351,-0.0333695615828037,-0.001748895272612544,-0.0027563858628273027,0.01554143149405715,-0.012758941515988895
Albany - NY,2006,860992.1875,2.037961856259419,0.0004456707748599875,-0.002731411129236201,-0.009926099330186802,0.0030079065859317973,0.003244094550609599,-0.01037177010504679
Albany - NY,2007,863865.8125,2.0196639655044235,-0.00897852464647226,0.0030079065859317973,0.003244094550609599,-0.030209466639906167,-0.0005851397290825844,0.012222619197081858
Albany - NY,2008,867088.625,2.0128005138557534,-0.003398313663013685,-0.030209466639906167,-0.0005851397290825844,-0.0261161017268896,0.0004505999386310508,0.002813173933931101
