year,msa,exog_shock
2022,Houston - TX,0
2023,Houston - TX,0
2024,Houston - TX,0
2000,Indianapolis - IN,0
2001,Indianapolis - IN,0
2002,Indianapolis - IN,0
2003,Indianapolis - IN,0
2004,Indianapolis - IN,0
2005,Indianapolis - IN,0
2006,Indianapolis - IN,0
2007,Indianapolis - IN,0
2008,Indianapolis - IN,0
2009,Indianapolis - IN,0
2010,Indianapolis - IN,0
2011,Indianapolis - IN,0
2012,Indianapolis - IN,0
2013,Indianapolis - IN,0
2014,Indianapolis - IN,0
2015,Indianapolis - IN,0
2016,Indianapolis - IN,0
2017,Indianapolis - IN,0
2018,Indianapolis - IN,0
2019,Indianapolis - IN,0
2020,Indianapolis - IN,0
2021,Indianapolis - IN,0
2022,Indianapolis - IN,0
2023,Indianapolis - IN,0
2024,Indianapolis - IN,0
2000,Inland Empire - CA,0
2001,Inland Empire - CA,0
2002,Inland Empire - CA,0
2003,Inland Empire - CA,0
2004,Inland Empire - CA,0
2005,Inland Empire - CA,0
2006,Inland Empire - CA,0
2007,Inland Empire - CA,0
2008,Inland Empire - CA,0
2009,Inland Empire - CA,0
2010,Inland Empire - CA,0
2011,Inland Empire - CA,0
2012,Inland Empire - CA,0
2013,Inland Empire - CA,0
2014,Inland Empire - CA,0
2015,Inland Empire - CA,0
2016,Inland Empire - CA,0
2017,Inland Empire - CA,0
2018,Inland Empire - CA,0
2019,Inland Empire - CA,0
2020,Inland Empire - CA,0
2021,Inland Empire - CA,0
2022,Inland Empire - CA,0
2023,Inland Empire - CA,0
2024,Inland Empire - CA,0
2000,Jackson - MS,0
2001,Jackson - MS,0
2002,Jackson - MS,0
2003,Jackson - MS,0
2004,Jackson - MS,0
2005,Jackson - MS,0
2006,Jackson - MS,0
2007,Jackson - MS,0
2008,Jackson - MS,0
2009,Jackson - MS,0
2010,Jackson - MS,0
2011,Jackson - MS,0
2012,Jackson - MS,0
2013,Jackson - MS,0
2014,Jackson - MS,0
2015,Jackson - MS,0
2016,Jackson - MS,0
2017,Jackson - MS,0
2018,Jackson - MS,0
2019,Jackson - MS,0
2020,Jackson - MS,0
2021,Jackson - MS,0
2022,Jackson - MS,0
2023,Jackson - MS,0
2024,Jackson - MS,0
2000,Jacksonville - FL,0
2001,Jacksonville - FL,0
2002,Jacksonville - FL,0
2003,Jacksonville - FL,0
2004,Jacksonville - FL,0
2005,Jacksonville - FL,0
2006,Jacksonville - FL,0
2007,Jacksonville - FL,0
2008,Jacksonville - FL,0
2009,Jacksonville - FL,0
2010,Jacksonville - FL,0
2011,Jacksonville - FL,0
2012,Jacksonville - FL,0
2013,Jacksonville - FL,0
2014,Jacksonville - FL,0
2015,Jacksonville - FL,0
2016,Jacksonville - FL,0
2017,Jacksonville - FL,0
2018,Jacksonville - FL,0
2019,Jacksonville - FL,0
2020,Jacksonville - FL,0
2021,Jacksonville - FL,0
2022,Jacksonville - FL,0
2023,Jacksonville - FL,0
2024,Jacksonville - FL,0
2000,Kansas City - MO,0
2001,Kansas City - MO,0
2002,Kansas City - MO,0
2003,Kansas City - MO,0
2004,Kansas City - MO,0
2005,Kansas City - MO,0
2006,Kansas City - MO,0
2007,Kansas City - MO,0
2008,Kansas City - MO,0
2009,Kansas City - MO,0
2010,Kansas City - MO,0
2011,Kansas City - MO,0
2012,Kansas City - MO,0
2013,Kansas City - MO,0
2014,Kansas City - MO,0
2015,Kansas City - MO,0
2016,Kansas City - MO,0
2017,Kansas City - MO,0
2018,Kansas City - MO,0
2019,Kansas City - MO,0
2020,Kansas City - MO,0
2021,Kansas City - MO,0
2022,Kansas City - MO,0
2023,Kansas City - MO,0
2024,Kansas City - MO,0
2000,Knoxville - TN,0
2001,Knoxville - TN,0
2002,Knoxville - TN,0
2003,Knoxville - TN,0
2004,Knoxville - TN,0
2005,Knoxville - TN,0
2006,Knoxville - TN,0
2007,Knoxville - TN,0
2008,Knoxville - TN,0
2009,Knoxville - TN,0
2010,Knoxville - TN,0
2011,Knoxville - TN,0
2012,Knoxville - TN,0
2013,Knoxville - TN,0
2014,Knoxville - TN,0
2015,Knoxville - TN,0
2016,Knoxville - TN,0
2017,Knoxville - TN,0
2018,Knoxville - TN,0
2019,Knoxville - TN,0
2020,Knoxville - TN,0
2021,Knoxville - TN,0
2022,Knoxville - TN,0
2023,Knoxville - TN,0
2024,Knoxville - TN,0
2000,Lansing - MI,0
2001,Lansing - MI,0
2002,Lansing - MI,0
2003,Lansing - MI,0
2004,Lansing - MI,0
2005,Lansing - MI,0
2006,Lansing - MI,0
2007,Lansing - MI,0
2008,Lansing - MI,0
2009,Lansing - MI,0
2010,Lansing - MI,0
2011,Lansing - MI,0
2012,Lansing - MI,0
2013,Lansing - MI,0
2014,Lansing - MI,0
2015,Lansing - MI,0
2016,Lansing - MI,0
2017,Lansing - MI,0
2018,Lansing - MI,0
2019,Lansing - MI,0
2020,Lansing - MI,0
2021,Lansing - MI,0
2022,Lansing - MI,0
2023,Lansing - MI,0
2024,Lansing - MI,0
2000,Las Vegas - NV,0
2001,Las Vegas - NV,0
2002,Las Vegas - NV,0
2003,Las Vegas - NV,0
2004,Las Vegas - NV,0
2005,Las Vegas - NV,0
2006,Las Vegas - NV,0
2007,Las Vegas - NV,0
2008,Las Vegas - NV,1
2009,Las Vegas - NV,1
2010,Las Vegas - NV,1
2011,Las Vegas - NV,0
2012,Las Vegas - NV,0
2013,Las Vegas - NV,0
2014,Las Vegas - NV,0
2015,Las Vegas - NV,0
2016,Las Vegas - NV,0
2017,Las Vegas - NV,0
2018,Las Vegas - NV,0
2019,Las Vegas - NV,0
2020,Las Vegas - NV,0
2021,Las Vegas - NV,0
2022,Las Vegas - NV,0
2023,Las Vegas - NV,0
2024,Las Vegas - NV,0
2000,Lehigh Valley - PA,0
2001,Lehigh Valley - PA,0
2002,Lehigh Valley - PA,0
2003,Lehigh Valley - PA,0
2004,Lehigh Valley - PA,0
2005,Lehigh Valley - PA,0
2006,Lehigh Valley - PA,0
2007,Lehigh Valley - PA,0
2008,Lehigh Valley - PA,0
2009,Lehigh Valley - PA,0
2010,Lehigh Valley - PA,0
2011,Lehigh Valley - PA,0
2012,Lehigh Valley - PA,0
2013,Lehigh Valley - PA,0
2014,Lehigh Valley - PA,0
2015,Lehigh Valley - PA,0
2016,Lehigh Valley - PA,0
2017,Lehigh Valley - PA,0
2018,Lehigh Valley - PA,0
2019,Lehigh Valley - PA,0
2020,Lehigh Valley - PA,0
2021,Lehigh Valley - PA,0
2022,Lehigh Valley - PA,0
2023,Lehigh Valley - PA,0
2024,Lehigh Valley - PA,0
2000,Lexington - KY,0
2001,Lexington - KY,0
2002,Lexington - KY,0
2003,Lexington - KY,0
2004,Lexington - KY,0
2005,Lexington - KY,0
2006,Lexington - KY,0
2007,Lexington - KY,0
2008,Lexington - KY,0
2009,Lexington - KY,0
2010,Lexington - KY,0
2011,Lexington - KY,0
2012,Lexington - KY,0
2013,Lexington - KY,0
2014,Lexington - KY,0
2015,Lexington - KY,0
2016,Lexington - KY,0
2017,Lexington - KY,0
2018,Lexington - KY,0
2019,Lexington - KY,0
2020,Lexington - KY,0
2021,Lexington - KY,0
2022,Lexington - KY,0
2023,Lexington - KY,0
2024,Lexington - KY,0
2000,Lincoln - NE,0
2001,Lincoln - NE,0
2002,Lincoln - NE,0
2003,Lincoln - NE,0
2004,Lincoln - NE,0
2005,Lincoln - NE,0
2006,Lincoln - NE,0
2007,Lincoln - NE,0
2008,Lincoln - NE,0
2009,Lincoln - NE,0
2010,Lincoln - NE,0
2011,Lincoln - NE,0
2012,Lincoln - NE,0
2013,Lincoln - NE,0
2014,Lincoln - NE,0
2015,Lincoln - NE,0
2016,Lincoln - NE,0
2017,Lincoln - NE,0
2018,Lincoln - NE,0
2019,Lincoln - NE,0
2020,Lincoln - NE,0
2021,Lincoln - NE,0
2022,Lincoln - NE,0
2023,Lincoln - NE,0
2024,Lincoln - NE,0
2000,Little Rock - AR,0
2001,Little Rock - AR,0
2002,Little Rock - AR,0
2003,Little Rock - AR,0
2004,Little Rock - AR,0
2005,Little Rock - AR,0
2006,Little Rock - AR,0
2007,Little Rock - AR,0
2008,Little Rock - AR,0
2009,Little Rock - AR,0
2010,Little Rock - AR,0
2011,Little Rock - AR,0
2012,Little Rock - AR,0
2013,Little Rock - AR,0
2014,Little Rock - AR,0
2015,Little Rock - AR,0
2016,Little Rock - AR,0
2017,Little Rock - AR,0
2018,Little Rock - AR,0
2019,Little Rock - AR,0
2020,Little Rock - AR,0
2021,Little Rock - AR,0
2022,Little Rock - AR,0
2023,Little Rock - AR,0
2024,Little Rock - AR,0
2000,Long Island - NY,0
2001,Long Island - NY,0
2002,Long Island - NY,0
2003,Long Island - NY,0
2004,Long Island - NY,0
2005,Long Island - NY,0
2006,Long Island - NY,0
2007,Long Island - NY,0
2008,Long Island - NY,0
2009,Long Island - NY,0
2010,Long Island - NY,0
2011,Long Island - NY,0
2012,Long Island - NY,0
2013,Long Island - NY,0
2014,Long Island - NY,0
2015,Long Island - NY,0
2016,Long Island - NY,0
2017,Long Island - NY,0
2018,Long Island - NY,0
2019,Long Island - NY,0
2020,Long Island - NY,0
2021,Long Island - NY,0
2022,Long Island - NY,0
2023,Long Island - NY,0
2024,Long Island - NY,0
2000,Los Angeles - CA,0
2001,Los Angeles - CA,0
2002,Los Angeles - CA,0
2003,Los Angeles - CA,0
2004,Los Angeles - CA,0
2005,Los Angeles - CA,0
2006,Los Angeles - CA,0
2007,Los Angeles - CA,0
2008,Los Angeles - CA,0
2009,Los Angeles - CA,0
2010,Los Angeles - CA,0
2011,Los Angeles - CA,0
2012,Los Angeles - CA,0
2013,Los Angeles - CA,0
2014,Los Angeles - CA,0
2015,Los Angeles - CA,0
2016,Los Angeles - CA,0
2017,Los Angeles - CA,0
2018,Los Angeles - CA,0
2019,Los Angeles - CA,0
2020,Los Angeles - CA,0
2021,Los Angeles - CA,0
2022,Los Angeles - CA,0
2023,Los Angeles - CA,0
2024,Los Angeles - CA,0
2000,Louisville - KY,0
2001,Louisville - KY,0
2002,Louisville - KY,0
2003,Louisville - KY,0
2004,Louisville - KY,0
2005,Louisville - KY,0
2006,Louisville - KY,0
2007,Louisville - KY,0
2008,Louisville - KY,0
2009,Louisville - KY,0
2010,Louisville - KY,0
2011,Louisville - KY,0
2012,Louisville - KY,0
2013,Louisville - KY,0
2014,Louisville - KY,0
2015,Louisville - KY,0
2016,Louisville - KY,0
2017,Louisville - KY,0
2018,Louisville - KY,0
2019,Louisville - KY,0
2020,Louisville - KY,0
2021,Louisville - KY,0
2022,Louisville - KY,0
2023,Louisville - KY,0
2024,Louisville - KY,0
2000,Madison - WI,0
2001,Madison - WI,0
2002,Madison - WI,0
2003,Madison - WI,0
2004,Madison - WI,0
2005,Madison - WI,0
2006,Madison - WI,0
2007,Madison - WI,0
2008,Madison - WI,0
2009,Madison - WI,0
2010,Madison - WI,0
2011,Madison - WI,0
2012,Madison - WI,0
2013,Madison - WI,0
2014,Madison - WI,0
2015,Madison - WI,0
2016,Madison - WI,0
2017,Madison - WI,0
2018,Madison - WI,0
2019,Madison - WI,0
2020,Madison - WI,0
2021,Madison - WI,0
2022,Madison - WI,0
2023,Madison - WI,0
2024,Madison - WI,0
2000,Memphis - TN,0
2001,Memphis - TN,0
2002,Memphis - TN,0
2003,Memphis - TN,0
2004,Memphis - TN,0
2005,Memphis - TN,0
2006,Memphis - TN,0
2007,Memphis - TN,0
2008,Memphis - TN,0
2009,Memphis - TN,0
2010,Memphis - TN,0
2011,Memphis - TN,0
2012,Memphis - TN,0
2013,Memphis - TN,0
2014,Memphis - TN,0
2015,Memphis - TN,0
2016,Memphis - TN,0
2017,Memphis - TN,0
2018,Memphis - TN,0
2019,Memphis - TN,0
2020,Memphis - TN,0
2021,Memphis - TN,0
2022,Memphis - TN,0
2023,Memphis - TN,0
2024,Memphis - TN,0
2000,Miami - FL,0
2001,Miami - FL,0
2002,Miami - FL,0
2003,Miami - FL,0
2004,Miami - FL,0
2005,Miami - FL,0
2006,Miami - FL,0
2007,Miami - FL,0
2008,Miami - FL,0
2009,Miami - FL,0
2010,Miami - FL,0
2011,Miami - FL,0
2012,Miami - FL,0
2013,Miami - FL,0
2014,Miami - FL,0
2015,Miami - FL,0
2016,Miami - FL,0
2017,Miami - FL,0
2018,Miami - FL,0
2019,Miami - FL,0
2020,Miami - FL,0
2021,Miami - FL,0
2022,Miami - FL,0
2023,Miami - FL,0
2024,Miami - FL,0
2000,Milwaukee - WI,0
2001,Milwaukee - WI,0
2002,Milwaukee - WI,0
2003,Milwaukee - WI,0
2004,Milwaukee - WI,0
2005,Milwaukee - WI,0
2006,Milwaukee - WI,0
2007,Milwaukee - WI,0
2008,Milwaukee - WI,0
2009,Milwaukee - WI,0
2010,Milwaukee - WI,0
2011,Milwaukee - WI,0
2012,Milwaukee - WI,0
2013,Milwaukee - WI,0
2014,Milwaukee - WI,0
2015,Milwaukee - WI,0
2016,Milwaukee - WI,0
2017,Milwaukee - WI,0
2018,Milwaukee - WI,0
2019,Milwaukee - WI,0
2020,Milwaukee - WI,0
2021,Milwaukee - WI,0
2022,Milwaukee - WI,0
2023,Milwaukee - WI,0
2024,Milwaukee - WI,0
2000,Minneapolis - MN,0
2001,Minneapolis - MN,0
2002,Minneapolis - MN,0
2003,Minneapolis - MN,0
2004,Minneapolis - MN,0
2005,Minneapolis - MN,0
2006,Minneapolis - MN,0
2007,Minneapolis - MN,0
2008,Minneapolis - MN,0
2009,Minneapolis - MN,0
2010,Minneapolis - MN,0
2011,Minneapolis - MN,0
2012,Minneapolis - MN,0
2013,Minneapolis - MN,0
2014,Minneapolis - MN,0
2015,Minneapolis - MN,0
2016,Minneapolis - MN,0
2017,Minneapolis - MN,0
2018,Minneapolis - MN,0
2019,Minneapolis - MN,0
2020,Minneapolis - MN,0
2021,Minneapolis - MN,0
2022,Minneapolis - MN,0
2023,Minneapolis - MN,0
2024,Minneapolis - MN,0
2000,Nashville - TN,0
2001,Nashville - TN,0
2002,Nashville - TN,0
2003,Nashville - TN,0
2004,Nashville - TN,0
2005,Nashville - TN,0
2006,Nashville - TN,0
2007,Nashville - TN,0
2008,Nashville - TN,0
2009,Nashville - TN,0
2010,Nashville - TN,0
2011,Nashville - TN,0
2012,Nashville - TN,0
2013,Nashville - TN,0
2014,Nashville - TN,0
2015,Nashville - TN,0
2016,Nashville - TN,0
2017,Nashville - TN,0
2018,Nashville - TN,0
2019,Nashville - TN,0
2020,Nashville - TN,0
2021,Nashville - TN,0
2022,Nashville - TN,0
2023,Nashville - TN,0
2024,Nashville - TN,0
2000,New Haven - CT,0
2001,New Haven - CT,0
2002,New Haven - CT,0
2003,New Haven - CT,0
2004,New Haven - CT,0
2005,New Haven - CT,0
2006,New Haven - CT,0
2007,New Haven - CT,0
2008,New Haven - CT,0
2009,New Haven - CT,0
2010,New Haven - CT,0
2011,New Haven - CT,0
2012,New Haven - CT,0
2013,New Haven - CT,0
2014,New Haven - CT,0
2015,New Haven - CT,0
2016,New Haven - CT,0
2017,New Haven - CT,0
2018,New Haven - CT,0
2019,New Haven - CT,0
2020,New Haven - CT,0
2021,New Haven - CT,0
2022,New Haven - CT,0
2023,New Haven - CT,0
2024,New Haven - CT,0
2000,New York - NY,0
2001,New York - NY,0
2002,New York - NY,0
2003,New York - NY,0
2004,New York - NY,0
2005,New York - NY,0
2006,New York - NY,0
2007,New York - NY,0
2008,New York - NY,0
2009,New York - NY,0
2010,New York - NY,0
2011,New York - NY,0
2012,New York - NY,0
2013,New York - NY,0
2014,New York - NY,0
2015,New York - NY,0
2016,New York - NY,0
2017,New York - NY,0
2018,New York - NY,0
2019,New York - NY,0
2020,New York - NY,1
2021,New York - NY,1
2022,New York - NY,0
2023,New York - NY,0
2024,New York - NY,0
2000,Norfolk - VA,0
2001,Norfolk - VA,0
2002,Norfolk - VA,0
2003,Norfolk - VA,0
2004,Norfolk - VA,0
2005,Norfolk - VA,0
2006,Norfolk - VA,0
2007,Norfolk - VA,0
2008,Norfolk - VA,0
2009,Norfolk - VA,0
2010,Norfolk - VA,0
2011,Norfolk - VA,0
2012,Norfolk - VA,0
2013,Norfolk - VA,0
2014,Norfolk - VA,0
2015,Norfolk - VA,0
2016,Norfolk - VA,0
2017,Norfolk - VA,0
2018,Norfolk - VA,0
2019,Norfolk - VA,0
2020,Norfolk - VA,0
2021,Norfolk - VA,0
2022,Norfolk - VA,0
2023,Norfolk - VA,0
2024,Norfolk - VA,0
2000,Northern New Jersey - NJ,0
2001,Northern New Jersey - NJ,0
2002,Northern New Jersey - NJ,0
2003,Northern New Jersey - NJ,0
2004,Northern New Jersey - NJ,0
2005,Northern New Jersey - NJ,0
2006,Northern New Jersey - NJ,0
2007,Northern New Jersey - NJ,0
2008,Northern New Jersey - NJ,0
2009,Northern New Jersey - NJ,0
2010,Northern New Jersey - NJ,0
2011,Northern New Jersey - NJ,0
2012,Northern New Jersey - NJ,0
2013,Northern New Jersey - NJ,0
2014,Northern New Jersey - NJ,0
2015,Northern New Jersey - NJ,0
2016,Northern New Jersey - NJ,0
2017,Northern New Jersey - NJ,0
2018,Northern New Jersey - NJ,0
2019,Northern New Jersey - NJ,0
2020,Northern New Jersey - NJ,0
2021,Northern New Jersey - NJ,0
2022,Northern New Jersey - NJ,0
2023,Northern New Jersey - NJ,0
2024,Northern New Jersey - NJ,0
2000,Oklahoma City - OK,0
2001,Oklahoma City - OK,0
2002,Oklahoma City - OK,0
2003,Oklahoma City - OK,0
2004,Oklahoma City - OK,0
2005,Oklahoma City - OK,0
2006,Oklahoma City - OK,0
2007,Oklahoma City - OK,0
2008,Oklahoma City - OK,0
2009,Oklahoma City - OK,0
2010,Oklahoma City - OK,0
2011,Oklahoma City - OK,0
2012,Oklahoma City - OK,0
2013,Oklahoma City - OK,0
2014,Oklahoma City - OK,0
2015,Oklahoma City - OK,0
2016,Oklahoma City - OK,0
2017,Oklahoma City - OK,0
2018,Oklahoma City - OK,0
2019,Oklahoma City - OK,0
2020,Oklahoma City - OK,0
2021,Oklahoma City - OK,0
2022,Oklahoma City - OK,0
2023,Oklahoma City - OK,0
2024,Oklahoma City - OK,0
2000,Omaha - NE,0
2001,Omaha - NE,0
2002,Omaha - NE,0
2003,Omaha - NE,0
2004,Omaha - NE,0
2005,Omaha - NE,0
2006,Omaha - NE,0
2007,Omaha - NE,0
2008,Omaha - NE,0
2009,Omaha - NE,0
2010,Omaha - NE,0
2011,Omaha - NE,0
2012,Omaha - NE,0
2013,Omaha - NE,0
2014,Omaha - NE,0
2015,Omaha - NE,0
2016,Omaha - NE,0
2017,Omaha - NE,0
2018,Omaha - NE,0
2019,Omaha - NE,0
2020,Omaha - NE,0
2021,Omaha - NE,0
2022,Omaha - NE,0
2023,Omaha - NE,0
2024,Omaha - NE,0
2000,Orange County - CA,0
2001,Orange County - CA,0
2002,Orange County - CA,0
2003,Orange County - CA,0
2004,Orange County - CA,0
2005,Orange County - CA,0
2006,Orange County - CA,0
2007,Orange County - CA,0
2008,Orange County - CA,0
2009,Orange County - CA,0
2010,Orange County - CA,0
2011,Orange County - CA,0
2012,Orange County - CA,0
2013,Orange County - CA,0
2014,Orange County - CA,0
2015,Orange County - CA,0
2016,Orange County - CA,0
2017,Orange County - CA,0
2018,Orange County - CA,0
2019,Orange County - CA,0
2020,Orange County - CA,0
2021,Orange County - CA,0
2022,Orange County - CA,0
2023,Orange County - CA,0
2024,Orange County - CA,0
2000,Orlando - FL,0
2001,Orlando - FL,0
2002,Orlando - FL,0
2003,Orlando - FL,0
2004,Orlando - FL,0
2005,Orlando - FL,0
2006,Orlando - FL,0
2007,Orlando - FL,0
2008,Orlando - FL,0
2009,Orlando - FL,0
2010,Orlando - FL,0
2011,Orlando - FL,0
2012,Orlando - FL,0
2013,Orlando - FL,0
2014,Orlando - FL,0
2015,Orlando - FL,0
2016,Orlando - FL,0
2017,Orlando - FL,1
2018,Orlando - FL,1
2019,Orlando - FL,0
2020,Orlando - FL,0
2021,Orlando - FL,0
2022,Orlando - FL,0
2023,Orlando - FL,0
2024,Orlando - FL,0
2000,Palm Beach - FL,0
2001,Palm Beach - FL,0
2002,Palm Beach - FL,0
2003,Palm Beach - FL,0
2004,Palm Beach - FL,0
2005,Palm Beach - FL,0
2006,Palm Beach - FL,0
2007,Palm Beach - FL,0
2008,Palm Beach - FL,0
2009,Palm Beach - FL,0
2010,Palm Beach - FL,0
2011,Palm Beach - FL,0
2012,Palm Beach - FL,0
2013,Palm Beach - FL,0
2014,Palm Beach - FL,0
2015,Palm Beach - FL,0
2016,Palm Beach - FL,0
2017,Palm Beach - FL,0
2018,Palm Beach - FL,0
2019,Palm Beach - FL,0
2020,Palm Beach - FL,0
2021,Palm Beach - FL,0
2022,Palm Beach - FL,0
2023,Palm Beach - FL,0
2024,Palm Beach - FL,0
2000,Philadelphia - PA,0
2001,Philadelphia - PA,0
2002,Philadelphia - PA,0
2003,Philadelphia - PA,0
2004,Philadelphia - PA,0
2005,Philadelphia - PA,0
2006,Philadelphia - PA,0
2007,Philadelphia - PA,0
2008,Philadelphia - PA,0
2009,Philadelphia - PA,0
2010,Philadelphia - PA,0
2011,Philadelphia - PA,0
2012,Philadelphia - PA,0
2013,Philadelphia - PA,0
2014,Philadelphia - PA,0
2015,Philadelphia - PA,0
2016,Philadelphia - PA,0
2017,Philadelphia - PA,0
2018,Philadelphia - PA,0
2019,Philadelphia - PA,0
2020,Philadelphia - PA,0
2021,Philadelphia - PA,0
2022,Philadelphia - PA,0
2023,Philadelphia - PA,0
2024,Philadelphia - PA,0
2000,Phoenix - AZ,0
2001,Phoenix - AZ,0
2002,Phoenix - AZ,0
2003,Phoenix - AZ,0
2004,Phoenix - AZ,0
2005,Phoenix - AZ,0
2006,Phoenix - AZ,0
2007,Phoenix - AZ,0
2008,Phoenix - AZ,0
2009,Phoenix - AZ,0
2010,Phoenix - AZ,0
2011,Phoenix - AZ,0
2012,Phoenix - AZ,0
2013,Phoenix - AZ,0
2014,Phoenix - AZ,0
2015,Phoenix - AZ,0
2016,Phoenix - AZ,0
2017,Phoenix - AZ,0
2018,Phoenix - AZ,0
2019,Phoenix - AZ,0
2020,Phoenix - AZ,0
2021,Phoenix - AZ,0
2022,Phoenix - AZ,0
2023,Phoenix - AZ,0
2024,Phoenix - AZ,0
2000,Pittsburgh - PA,0
2001,Pittsburgh - PA,0
2002,Pittsburgh - PA,0
2003,Pittsburgh - PA,0
2004,Pittsburgh - PA,0
2005,Pittsburgh - PA,0
2006,Pittsburgh - PA,0
2007,Pittsburgh - PA,0
2008,Pittsburgh - PA,0
2009,Pittsburgh - PA,0
2010,Pittsburgh - PA,0
2011,Pittsburgh - PA,0
2012,Pittsburgh - PA,0
2013,Pittsburgh - PA,0
2014,Pittsburgh - PA,0
2015,Pittsburgh - PA,0
2016,Pittsburgh - PA,0
2017,Pittsburgh - PA,0
2018,Pittsburgh - PA,0
2019,Pittsburgh - PA,0
2020,Pittsburgh - PA,0
2021,Pittsburgh - PA,0
2022,Pittsburgh - PA,0
2023,Pittsburgh - PA,0
2024,Pittsburgh - PA,0
2000,Portland - OR,0
2001,Portland - OR,0
2002,Portland - OR,0
2003,Portland - OR,0
2004,Portland - OR,0
2005,Portland - OR,0
2006,Portland - OR,0
2007,Portland - OR,0
2008,Portland - OR,0
2009,Portland - OR,0
2010,Portland - OR,0
2011,Portland - OR,0
2012,Portland - OR,0
2013,Portland - OR,0
2014,Portland - OR,0
2015,Portland - OR,0
2016,Portland - OR,0
2017,Portland - OR,0
2018,Portland - OR,0
2019,Portland - OR,0
2020,Portland - OR,0
2021,Portland - OR,0
2022,Portland - OR,0
2023,Portland - OR,0
2024,Portland - OR,0
2000,Providence - RI,0
2001,Providence - RI,0
2002,Providence - RI,0
2003,Providence - RI,0
2004,Providence - RI,0
2005,Providence - RI,0
2006,Providence - RI,0
2007,Providence - RI,0
2008,Providence - RI,0
2009,Providence - RI,0
2010,Providence - RI,0
2011,Providence - RI,0
2012,Providence - RI,0
2013,Providence - RI,0
2014,Providence - RI,0
2015,Providence - RI,0
2016,Providence - RI,0
2017,Providence - RI,0
2018,Providence - RI,0
2019,Providence - RI,0
2020,Providence - RI,0
2021,Providence - RI,0
2022,Providence - RI,0
2023,Providence - RI,0
2024,Providence - RI,0
2000,Raleigh - NC,0
2001,Raleigh - NC,0
2002,Raleigh - NC,0
2003,Raleigh - NC,0
2004,Raleigh - NC,0
2005,Raleigh - NC,0
2006,Raleigh - NC,0
2007,Raleigh - NC,0
2008,Raleigh - NC,0
2009,Raleigh - NC,0
2010,Raleigh - NC,0
2011,Raleigh - NC,0
2012,Raleigh - NC,0
2013,Raleigh - NC,0
2014,Raleigh - NC,0
2015,Raleigh - NC,0
2016,Raleigh - NC,0
2017,Raleigh - NC,0
2018,Raleigh - NC,0
2019,Raleigh - NC,0
2020,Raleigh - NC,0
2021,Raleigh - NC,0
2022,Raleigh - NC,0
2023,Raleigh - NC,0
2024,Raleigh - NC,0
2000,Reno - NV,0
2001,Reno - NV,0
2002,Reno - NV,0
2003,Reno - NV,0
2004,Reno - NV,0
2005,Reno - NV,0
2006,Reno - NV,0
2007,Reno - NV,0
2008,Reno - NV,0
2009,Reno - NV,0
2010,Reno - NV,0
2011,Reno - NV,0
2012,Reno - NV,0
2013,Reno - NV,0
2014,Reno - NV,0
2015,Reno - NV,0
2016,Reno - NV,0
2017,Reno - NV,0
2018,Reno - NV,0
2019,Reno - NV,0
2020,Reno - NV,0
2021,Reno - NV,0
2022,Reno - NV,0
2023,Reno - NV,0
2024,Reno - NV,0
2000,Richmond - VA,0
2001,Richmond - VA,0
2002,Richmond - VA,0
2003,Richmond - VA,0
2004,Richmond - VA,0
2005,Richmond - VA,0
2006,Richmond - VA,0
2007,Richmond - VA,0
2008,Richmond - VA,0
2009,Richmond - VA,0
2010,Richmond - VA,0
2011,Richmond - VA,0
2012,Richmond - VA,0
2013,Richmond - VA,0
2014,Richmond - VA,0
2015,Richmond - VA,0
2016,Richmond - VA,0
2017,Richmond - VA,0
2018,Richmond - VA,0
2019,Richmond - VA,0
2020,Richmond - VA,0
2021,Richmond - VA,0
2022,Richmond - VA,0
2023,Richmond - VA,0
2024,Richmond - VA,0
2000,Rochester - NY,0
2001,Rochester - NY,0
2002,Rochester - NY,0
2003,Rochester - NY,0
2004,Rochester - NY,0
2005,Rochester - NY,0
2006,Rochester - NY,0
2007,Rochester - NY,0
2008,Rochester - NY,0
2009,Rochester - NY,0
2010,Rochester - NY,0
2011,Rochester - NY,0
2012,Rochester - NY,0
2013,Rochester - NY,0
2014,Rochester - NY,0
2015,Rochester - NY,0
2016,Rochester - NY,0
2017,Rochester - NY,0
2018,Rochester - NY,0
2019,Rochester - NY,0
2020,Rochester - NY,0
2021,Rochester - NY,0
2022,Rochester - NY,0
2023,Rochester - NY,0
2024,Rochester - NY,0
2000,Sacramento - CA,0
2001,Sacramento - CA,0
2002,Sacramento - CA,0
2003,Sacramento - CA,0
2004,Sacramento - CA,0
2005,Sacramento - CA,0
2006,Sacramento - CA,0
2007,Sacramento - CA,0
2008,Sacramento - CA,0
2009,Sacramento - CA,0
2010,Sacramento - CA,0
2011,Sacramento - CA,0
2012,Sacramento - CA,0
2013,Sacramento - CA,0
2014,Sacramento - CA,0
2015,Sacramento - CA,0
2016,Sacramento - CA,0
2017,Sacramento - CA,0
2018,Sacramento - CA,0
2019,Sacramento - CA,0
2020,Sacramento - CA,0
2021,Sacramento - CA,0
2022,Sacramento - CA,0
2023,Sacramento - CA,0
2024,Sacramento - CA,0
2000,Saint Louis - MO,0
2001,Saint Louis - MO,0
2002,Saint Louis - MO,0
2003,Saint Louis - MO,0
2004,Saint Louis - MO,0
