msa,rdi_positive_count,rent_growth_sum
Abilene - TX,4,0.0058098956476897
Abilene - TX,3,0.00535260965116322
Abilene - TX,2,0.00457756821997464
Abilene - TX,1,0.00237364084459842
Abilene - TX,1,0.00446126074530184
Abilene - TX,2,0.00526830451562998
Abilene - TX,3,-0.00322329308837654
Abilene - TX,4,-0.00492065493017438
Abilene - TX,5,-0.0035357613116503207
Abilene - TX,5,-0.0035613849759102397
Abilene - TX,4,-0.00462594032287598
Abilene - TX,4,-0.0028378190472721798
Abilene - TX,3,-0.0010292248800396592
Abilene - TX,2,0.0007486348971724805
Akron - OH,1,-0.00288883647881448
Akron - OH,0,0.00037197577767074006
Akron - OH,0,0.00037664039991798027
Akron - OH,1,-0.0019659225363284002
Akron - OH,1,-0.0017131362576037197
Akron - OH,1,-0.0007900885306298405
Akron - OH,1,-0.0031521007418632203
Akron - OH,1,-0.0031277561560273002
Akron - OH,0,-0.00328185614198446
Akron - OH,0,-0.005780288763344301
Akron - OH,0,-0.005782056786119941
Akron - OH,0,-0.00491841230541466
Akron - OH,1,-0.004277788288891279
Akron - OH,1,0.00025500897318127963
Albany - NY,3,0.0014599587302655203
Albany - NY,3,0.0027048102114349804
Albany - NY,3,0.00013095722533766063
Albany - NY,2,-0.0007536346558481195
Albany - NY,1,-0.0025310094002634
Albany - NY,0,-0.00561771607026454
Albany - NY,1,-0.0046487808227539
Albany - NY,1,-0.00577953383326528
Albany - NY,1,-0.006936617940664261
Albany - NY,1,-0.0056547801941633
Albany - NY,1,-0.00314475558698176
Albany - NY,0,-0.01158004198223348
Albany - NY,0,-0.00544987749308346
Albany - NY,0,-0.0014811245724558803
Albuquerque - NM,4,0.0041671485174447406
Albuquerque - NM,4,0.00521651557646692
Albuquerque - NM,4,0.0026154234539717603
Albuquerque - NM,5,-0.0021148663479834597
Albuquerque - NM,5,-0.0025209695566445595
Albuquerque - NM,5,-0.0053621941246092195
Albuquerque - NM,5,-0.00579065419733526
Albuquerque - NM,4,-0.004999902658164541
Albuquerque - NM,3,-0.0012553438544273803
Albuquerque - NM,2,0.0030884344130753996
Albuquerque - NM,1,0.013016028329729978
Albuquerque - NM,0,0.02289038132876156
Albuquerque - NM,1,0.02801901344209908
Albuquerque - NM,1,0.025894387625157823
Amarillo - TX,3,0.00185716864652932
Amarillo - TX,3,0.00210036276839676
Amarillo - TX,2,-0.00016858489252625998
Amarillo - TX,1,-0.00133204744197428
Amarillo - TX,1,-0.0016634213272482198
Amarillo - TX,2,-0.0062551072333008
Amarillo - TX,3,-0.0091705698054284
Amarillo - TX,4,-0.01436092557851224
Amarillo - TX,4,-0.014873857260681661
Amarillo - TX,3,-0.01493054165039206
Amarillo - TX,2,-0.01164001885335886
Amarillo - TX,2,-0.007157209026627179
Amarillo - TX,2,0.0010170681402087607
Amarillo - TX,2,0.0032705286517739204
Anchorage - AK,3,0.002488189144059999
Anchorage - AK,2,-0.00230680215172472
