,msa,year,quantity,price,real_rentpsf,RDI_growth,supply_growth,real_rent_growth_next_year,real_relative_rg_next_year,real_rent_growth,real_relative_rent_growth,rent_growth,overpriced,oversupplied,group
1225,Spokane - WA,2018,0.010738463376322697,0.7263475574075232,0.7694920348225898,-0.016691523925124116,0.034587787377361255,0.029319338000000004,0.012328142500000003,0.008298878000000003,0.001356778000000003,0.032298878,True,True,True-True
1226,Spokane - WA,2019,0.019665927897883413,0.7305430059573853,0.7949836414229723,0.005476472127216925,0.011606182415218253,0.03645153499999999,0.020766605999999993,0.029319338000000004,0.012328142500000003,0.047319338,True,False,False-True
1227,Spokane - WA,2020,-0.11316424070513524,0.6991451356248128,0.8241909066783877,-0.024565871034738417,0.038308708305350346,0.05703914,0.008124694000000002,0.03645153499999999,0.020766605999999993,0.048451535,True,True,True-True
1228,Spokane - WA,2021,0.014123713876414068,0.7410045985126856,0.8671421161775658,-0.020925141363780805,0.030642770516102952,-0.055494156,-0.018920193000000002,0.05703914,0.008124694000000002,0.10403914,True,True,True-True
1229,Spokane - WA,2022,0.010610289570889091,0.7506313378202505,0.8256869375213227,-0.015837760135018926,0.023743528058155956,-0.034845952,-0.010245908499999998,-0.055494156,-0.018920193000000002,0.024505844,True,True,True-True
1230,Spokane - WA,2023,-0.0005134630570911785,0.7703968116711387,0.7986372047971985,-0.03746299319946823,0.04418901660280971,-0.016132251,-0.011405467999999998,-0.034845952,-0.010245908499999998,0.006154048,True,True,True-True
1231,Spokane - WA,2024,0.003639038356347704,0.7660578272481054,0.7844742640303797,-0.031668940393909745,0.03977495107632094,,,-0.016132251,-0.011405467999999998,0.015867749,True,True,True-True
1232,Springfield - MA,2011,0.0004697012863780756,0.9841687106569358,0.9107642285097939,0.005171879864186191,-0.000710006656312403,-0.002315114,0.003096101500000002,-0.019658665999999998,0.0005992310000000022,0.012341334,False,False,False-False
1233,Springfield - MA,2012,0.0004883374002929051,0.974736682102586,0.9137884330859594,0.004722958240978971,-0.0021315333718193523,0.010967179,0.0029126394999999996,-0.002315114,0.003096101500000002,0.018684886,False,False,False-False
1234,Springfield - MA,2013,0.0008059213017569166,0.9753727638751826,0.9217195079215637,0.0033457336469487945,-0.0007120288371679053,0.004901131999999999,0.002601648499999998,0.010967179,0.0029126394999999996,0.025967179,False,False,False-False
1235,Springfield - MA,2014,0.0008659498684544433,0.9705898134426246,0.9283020131054021,0.0024553265192004247,0.0,0.021626951,-0.011561369500000002,0.004901131999999999,0.002601648499999998,0.020901132,False,False,False-False
1236,Springfield - MA,2015,0.0009163946968200444,0.9672040662649463,0.9484513347957291,-0.008314856930198995,0.007615230460921844,0.017018164000000002,0.005339744500000002,0.021626951,-0.011561369500000002,0.022626951,False,True,True-False
1237,Springfield - MA,2016,0.001133230912294825,0.941080972820819,0.9640213194150586,-0.0009948319174119841,0.0,0.0005379389999999977,0.0008508004999999985,0.017018164000000002,0.005339744500000002,0.030018164,True,False,False-True
1238,Springfield - MA,2017,0.0010567027755663974,0.9398195043121544,0.964571532754165,-0.006611045243448819,0.005878193229028552,0.023934506,0.016992406,0.0005379389999999977,0.0008508004999999985,0.021537939,True,True,True-True
1239,Springfield - MA,2018,0.0009505437240725032,0.9364031743465265,0.988399251625568,-0.010567073107201046,0.010589217452436399,0.005069108000000003,-0.011922087499999998,0.023934506,0.016992406,0.047934506,True,True,True-True
1240,Springfield - MA,2019,0.000993402384842689,0.9351893177813295,0.9969876814566784,-0.010023632340762763,0.007217391304347826,0.028185697,0.012500767999999999,0.005069108000000003,-0.011922087499999998,0.023069108,True,True,True-True
1241,Springfield - MA,2020,0.0008859094084795978,0.9364301189585407,1.0237996418895596,-0.02287458701146323,0.0,0.011605629999999999,-0.037308816,0.028185697,0.012500767999999999,0.040185697,True,False,False-True
1242,Springfield - MA,2021,-0.0007277214241851141,0.9414146142978483,1.0393405505958058,0.010602890831334118,0.006388673055339722,-0.020408573,0.01616539,0.011605629999999999,-0.037308816,0.05860563,True,True,True-True
1243,Springfield - MA,2022,0.0016486859742613404,0.9605519728126782,1.0192962883883916,-0.005202875336887923,0.0019301707128763833,0.009498039,0.0340980825,-0.020408573,0.01616539,0.059591427,True,True,True-True
1244,Springfield - MA,2023,0.0014331653794866276,0.9730046317548148,1.02838215412242,-0.00957800561125554,0.009375401344235626,-0.0038573889999999993,0.0008693940000000025,0.009498039,0.0340980825,0.050498039,True,True,True-True
