year,msa,HOUSEHOLDS_RENTED,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OWNED,RDI,RDI_growth,real_relative_rg_next_year,real_rent_growth_next_year,rrg_5yr_fwd,rrrg_5yr_fwd,absorption,absorption_delta,occ,occupancy_delta,pop,demolished_pct,real_relative_rent_growth,rent_growth,real_rentpsf,real_rent_growth,supply_growth,supply_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,pct_twty_yold,starts_pct,inventory
2007,Akron - OH,85996.0,179956.0,501117.0,195671.0,2.092608958556212,0.0023563296416933,0.0056556514464318,-0.0239686754643917,-0.0898760965764522,0.0019221147522329,0.001162,-0.0021469999999999,0.945658266544342,0.003484189510345,703387.5625,0.0,-0.0080531090497971,0.0207107029855251,0.6742333594649234,-0.0082892970144749,0.0275760639764684,0.020394125753789,,0.1062598206498677,0.0004596010662744,True,,,0.0074148972025615,33537
2017,Albany - NY,120765.0,254320.0,568095.0,215549.0,2.1059081687575043,-0.0076918053953498,-0.0111731588840485,-0.0026423109471798,0.0234895589351654,-0.0270562022924423,0.006898,0.0001629999999999,0.934078991413116,-0.013361096382142,897462.0,0.0007984277115833,-0.0162258502095937,0.0101616103202105,0.8490946591145818,-0.0108383896797895,0.0416820210457355,0.0989433176241741,-0.0249125436388266,0.4243036545503953,0.0007165376898824,False,0.0072183866091975,0.0103759267801867,0.0226630635057118,50882
2015,Albuquerque - NM,111871.0,286992.0,593065.0,226283.0,2.565383343315068,0.0412462192160268,0.0018801521509885,0.0151172394752502,0.1224717325419187,0.0581269357353448,0.011358,0.013445,0.932698965072632,0.0012507438659669,903531.125,0.0,-0.014287307858467,0.0169170815497637,0.7025565442931326,0.0159170815497637,0.024898063702799,0.0238999042506949,0.0855407666767707,0.1399528161452057,0.0002954675281186,True,-0.0023825781413875,0.0089327304579573,0.0052199263300963,52031
2008,Amarillo - TX,30238.0,71379.0,157780.0,54712.0,2.3605727892056354,-0.0531942113113016,0.0012511480599641,-0.0253155536055565,-0.0634482632577419,-0.0069794883020223,-0.000896,-0.0014559999999999,0.906619906425476,-0.007994890213013,247197.296875,0.0,-4.34112735092e-05,0.0083322618156671,0.6340849559148053,-0.0296677381843328,0.07088,0.026540171373302,,0.8684930366199994,0.00016,False,,,0.00064,13386
2006,Anchorage - AK,48568.0,125698.0,280042.0,94935.0,2.5880826881897545,0.0738262611439121,0.0199693366885185,0.0197331487238406,-0.099769054878503,-0.0129045168869197,0.001271,-0.001983,0.953004598617554,0.0044030547142029,359066.8125,0.0,0.0220168344676495,0.0612115226686001,1.1150134182151168,0.0292115226686001,0.0239218877135882,0.0085172311562645,,1.7652020683683878,0.0,True,,,0.0023596419853539,12584
2021,Ann Arbor - MI,58894.0,116686.0,230628.0,90238.0,1.9812884164770608,-0.0422263523659524,-0.00457707606256,-0.0361977423727512,,,-0.001076,-0.002582,0.976505935192108,0.02269583940506,365686.3125,0.0,0.0071434341371059,0.0905896127223969,1.0024408860776115,0.0435896127223969,0.0257706081194149,,-0.0736871036364669,-1.201992852276157,0.0007363030891261,False,-7.530206957914731e-06,0.0114879880826822,0.0016734161116503,30649
2020,Atlanta - GA,774198.0,1827712.0,4177869.0,1458438.0,2.3607810921753867,-0.0507456246418234,0.080842759460211,0.1172889380455019,,,0.008454,0.006604,0.918667256832123,0.007558166980744,6115917.0,0.0001005584345062,0.0041223745793104,0.0361701585352421,0.9014588041794864,0.0241701585352421,0.0323976929660492,,-0.1295339079075912,0.9721258008249968,0.0006167583983052,False,0.0051252163600727,0.0081853628818049,0.0269206102332732,461999
2019,Atlantic City - NJ,33420.0,77616.0,170689.0,64208.0,2.322441651705565,-0.0836461618984845,0.0443419311195612,0.0643897150754929,,,-0.001947,-0.0371079999999999,0.894610643386841,-0.0265604853630059,274183.1875,0.0,-0.0121962577104568,0.0229453593492508,0.8340811975585283,0.0049453593492508,0.0528959507944643,,-0.0902363630586076,0.2752756184843941,0.0007175807278318,False,,,0.0434648898001025,10271
2022,Augusta - GA,62379.0,158481.0,371768.0,140206.0,2.540614629923532,0.0625650465308721,-0.0186121938750148,-0.0369100112318992,,,0.001936,0.006244,0.871727824211121,-0.0389267802238459,626112.4375,0.0,-0.013376684859395,0.0350026488304138,0.6776327280347407,-0.0449973511695862,0.0647026330325906,,-0.0721224278008053,1.2710387020225422,0.0009942920272509,True,0.0024331473462332,0.0078596106789525,0.0313754373043638,28912
2008,Austin - TX,244740.0,577111.0,1088650.0,382223.0,2.358057530440468,-0.0145545417772831,-0.0128526967018842,-0.0394193983674049,-0.0259730582311749,0.0304957167245447,0.006957,0.0053469999999999,0.907851934432983,-0.0263117551803589,1646057.0,0.0042347877399423,-0.0034326156601309,0.0049430574290454,1.0052566374259109,-0.0330569425709545,0.0686035613870665,0.1026598680868132,,3.405348120330509,0.0002846332743239,False,,,0.0230691797702107,153927
2007,Bakersfield - CA,91877.0,284798.0,465234.0,147785.0,3.099774698782068,-0.008585674994983,-0.0006048106588423,-0.0302291375696659,-0.1095389266237617,-0.0177407152950765,0.001385,0.000463,0.945315599441528,-0.002798676490784,807037.1875,0.0,0.0151203684508799,0.0438841804862022,0.8187119364931212,0.0148841804862021,0.0316881918819188,0.038517424353564,,2.265457235890156,0.0004151291512915,False,,,0.0055350553505535,22367
