year,model,y_true,y_hat
2010,Excess crowding only,-0.0012939381413161963,-0.001353805766488509
2010,Excess crowding only,-0.00231563346460463,-2.4082779965016e-05
2010,Excess crowding only,0.0040808604098856,-0.0006421404639872944
2010,Excess crowding only,-0.0026866109110415086,0.0010025545133726824
2010,Excess crowding only,0.0075741005130112,-0.0023895905966206847
2010,Excess crowding only,0.002761984709650299,-0.003997218329888464
2010,Excess crowding only,0.0009151655249298035,-0.004839143878443959
2010,Excess crowding only,0.0104422424919903,0.0006945244682961915
2010,Excess crowding only,0.0049379696138203005,-0.009224203364830888
2010,Excess crowding only,0.005626664031297,-0.0018414672708534552
2010,Excess crowding only,-0.0063988557085395,-0.0015868595102354953
2010,Excess crowding only,-0.004664673935621991,-0.0030694703999220706
2010,Excess crowding only,-3.300746902819979e-05,-0.005182321529997666
2010,Excess crowding only,0.0046473261900246005,0.000630746295646479
2010,Excess crowding only,-0.005747474264353528,-0.0006838754387407891
2010,Excess crowding only,-0.0010429681278764993,-0.0013640859151063398
2010,Excess crowding only,0.0064040482975542025,-0.006030720903523263
2010,Excess crowding only,0.004027052316814602,-0.0036765112610005965
2010,Excess crowding only,0.00027563096955419975,-0.0014163308210059077
2010,Excess crowding only,0.003349449019879101,0.0008848711613653906
2010,Excess crowding only,-0.0016043479554355006,3.535811138849216e-05
2010,Excess crowding only,0.0102738053537905,-0.0036069422384675696
2010,Excess crowding only,0.0012796144001186033,-0.0013673301482627904
2010,Excess crowding only,0.0004578907974064003,-0.00013772557852295003
2010,Excess crowding only,0.0073078223504126,0.0020132215964675875
2010,Excess crowding only,0.015166640747338502,0.001498083881670293
2010,Excess crowding only,-0.0038879141211509774,-0.0005775029750485812
2010,Excess crowding only,-0.001827576663345109,-0.0037908318547614033
2010,Excess crowding only,-0.0017847563140094384,-0.003182732135936239
2010,Excess crowding only,-0.01004744274541737,-0.005632074912590641
2010,Excess crowding only,0.0008901483379303993,-0.0026635595890899485
2010,Excess crowding only,-0.005719650536775599,-4.696129155554922e-05
2010,Excess crowding only,-0.0056204064749181375,-0.0062797719481806485
2010,Excess crowding only,-0.0025857579894363984,-0.006001925364663605
2010,Excess crowding only,0.005588196683675002,-0.0015979123410367509
2010,Excess crowding only,-0.0037638195790350576,-0.002786034882051286
2010,Excess crowding only,0.0023608268238604,-0.003204229176366928
2010,Excess crowding only,3.300746902819979e-05,0.0010446669077498608
2010,Excess crowding only,-0.0029458249919116566,0.0024859285773817926
2010,Excess crowding only,0.003389580640941801,0.0006860539926634639
2010,Excess crowding only,0.004152512643486202,-0.0024395475094987967
2010,Excess crowding only,0.0017806175164878021,0.0003660887066302596
2010,Excess crowding only,-0.0029923603869974683,-0.003153488335561482
2010,Excess crowding only,0.001907296944409602,-0.003057282184336827
2010,Excess crowding only,-0.001384546514600498,0.0007202645554032602
2010,Excess crowding only,-0.005082117393612869,-0.0008686015698255104
2010,Excess crowding only,-0.002798653673380627,-0.0025919979986271996
2010,Excess crowding only,-0.007243259344249978,-0.005936043204458733
2010,Excess crowding only,0.00040645105764270176,-3.175772979276451e-05
2010,Excess crowding only,-0.0039082430303096875,-0.0010671776036786918
2010,Excess crowding only,0.0011721556074917039,0.0040449550197937025
2010,Excess crowding only,-0.0032282234169542894,0.0004978540026609798
2010,Excess crowding only,-0.002568237017840161,-0.003728837980710327
2010,Excess crowding only,-0.007723375689238317,-0.0026707628513996354
2010,Excess crowding only,-0.0027745128609240194,-0.0010346048174826716
2010,Excess crowding only,-0.005163860507309451,0.002329475102102583
2010,Excess crowding only,-0.0038070301525294885,0.003503096136906489
2010,Excess crowding only,-0.0026298514567315683,-0.00243621838092297
2010,Excess crowding only,0.002934460993856202,0.0022122961709848273
2010,Excess crowding only,-0.005487184971570979,-0.0009763220964156721
2010,Excess crowding only,-0.0005894391797482967,0.0036469492539975283
2010,Excess crowding only,0.0014027417637407988,-0.0036147030746567868
2010,Excess crowding only,0.0014156303368509024,-0.0030141291670327986
2010,Excess crowding only,-0.0017189825884997983,0.0004512217271360132
2010,Excess crowding only,0.003940159920603002,-0.005839849171699794
2010,Excess crowding only,0.0064074103720486025,-0.007021574381117342
2010,Excess crowding only,0.0010820017196238006,-0.0042085766194045904
2010,Excess crowding only,-0.0027725291438400884,0.0006310504197891858
2010,Excess crowding only,0.0009533273987471988,-0.004154365022144904
2010,Excess crowding only,-0.0007568984292447983,0.0006786822214553474
2010,Excess crowding only,0.0053539504297078,-0.0012919263799343653
2010,Excess crowding only,-0.005735242273658528,0.0008457019942476236
2010,Excess crowding only,0.0165135734714568,-0.003596266803380263
2010,Excess crowding only,0.0019161351956427028,-0.0018122579283275917
2010,Excess crowding only,-0.005739745218306787,-0.0026016728368652583
2010,Excess crowding only,0.003869091626256701,-0.01014720677680453
2010,Excess crowding only,-0.006554067134857188,0.0018887489894624915
2010,Excess crowding only,-0.00014643138274549744,-0.0038164063549749935
2010,Excess crowding only,0.002592123579233902,-0.0041362816266869926
2010,Excess crowding only,0.004873864818364403,-0.0009463962633257026
2010,Excess crowding only,0.0020295693539083004,-0.0019092361277315314
2010,Excess crowding only,0.0215330892242491,0.0014430867550110308
2010,Excess crowding only,0.027384309563785802,-0.0024492621472403473
2010,Excess crowding only,0.001776078250259102,-0.0017518741875886148
2010,Excess crowding only,0.009305421728640802,0.00014742955826104582
2010,Excess crowding only,0.0002713431604206007,-0.0008788517982519571
2010,Excess crowding only,-0.0004412862472235983,-0.002061452071621377
2010,Excess crowding only,-0.002749700564891107,-0.0016446868935339981
2010,Excess crowding only,-0.00420907465741039,0.0018181507966147175
2010,Excess crowding only,-0.0007132119499147008,-0.008649545841254684
2010,Excess crowding only,-0.0004680589772761007,0.000578866796001677
2010,Excess crowding only,-0.00024970388039950026,-0.0010299076571806162
2010,Excess crowding only,-0.005512363743036999,0.0001590817107426641
2010,Excess crowding only,5.2924733608902125e-05,-0.0008260076444742353
2010,Excess crowding only,0.0009423545561731,-0.005832033074933133
2010,Excess crowding only,-0.007590476423501979,-0.0031681829039095126
2010,Excess crowding only,0.0045792968012392,-0.0014734568307796696
2010,Excess crowding only,-0.0016793389804660996,0.0027617159828587563
2010,Excess crowding only,-0.0005805459804833005,-0.0014922368245756637
2010,Excess crowding only,0.0003667692653835028,-0.00016490331075882014
2010,Supply growth only,-0.0012939381413161963,-0.00045230409089967646
2010,Supply growth only,-0.00231563346460463,-0.0003848601217479714
2010,Supply growth only,0.0040808604098856,-0.00039430696390839123
2010,Supply growth only,-0.0026866109110415086,-0.0008147640952943871
2010,Supply growth only,0.0075741005130112,-0.00033364102646319733
2010,Supply growth only,0.002761984709650299,-0.0004710154933561959
2010,Supply growth only,0.0009151655249298035,-0.0007559491180305644
2010,Supply growth only,0.0104422424919903,-0.0005791225284722371
2010,Supply growth only,0.0049379696138203005,-0.00036684000013951563
2010,Supply growth only,0.005626664031297,-0.0003586607408965067
2010,Supply growth only,-0.0063988557085395,-0.0005498362061048621
2010,Supply growth only,-0.004664673935621991,-0.000611587633804843
2010,Supply growth only,-3.300746902819979e-05,-0.0002948039468335674
2010,Supply growth only,0.0046473261900246005,-0.0004778774944196837
2010,Supply growth only,-0.005747474264353528,-0.0013187846441394127
2010,Supply growth only,-0.0010429681278764993,-0.00031222440322280215
2010,Supply growth only,0.0064040482975542025,-0.0006893659191156329
2010,Supply growth only,0.004027052316814602,-0.0008032393969443605
2010,Supply growth only,0.00027563096955419975,-0.0012028850809195854
2010,Supply growth only,0.003349449019879101,-0.0004501520081510808
2010,Supply growth only,-0.0016043479554355006,-0.00035989228662175726
2010,Supply growth only,0.0102738053537905,-0.000312789226767542
2010,Supply growth only,0.0012796144001186033,-0.00048303877926958536
2010,Supply growth only,0.0004578907974064003,-0.00031788598868053404
2010,Supply growth only,0.0073078223504126,-0.00038295651614458155
2010,Supply growth only,0.015166640747338502,-0.00041026450956509544
2010,Supply growth only,-0.0038879141211509774,-0.0003308888759868722
2010,Supply growth only,-0.001827576663345109,-0.0005632304347887578
2010,Supply growth only,-0.0017847563140094384,-0.00033770843100012056
2010,Supply growth only,-0.01004744274541737,-0.0017514183035240356
2010,Supply growth only,0.0008901483379303993,-0.00046293435979522846
2010,Supply growth only,-0.005719650536775599,-0.0004009851546890484
2010,Supply growth only,-0.0056204064749181375,-0.0003780092472462124
2010,Supply growth only,-0.0025857579894363984,-0.0002948039468335674
2010,Supply growth only,0.005588196683675002,-0.0003474180087752955
2010,Supply growth only,-0.0037638195790350576,-0.0007920353472452874
2010,Supply growth only,0.0023608268238604,-0.0005627260149185737
2010,Supply growth only,3.300746902819979e-05,-0.0006234711491236546
2010,Supply growth only,-0.0029458249919116566,-0.00029139277152090924
2010,Supply growth only,0.003389580640941801,-0.000475811942431928
2010,Supply growth only,0.004152512643486202,-0.0010315079283028437
2010,Supply growth only,0.0017806175164878021,-0.0006842259019946089
2010,Supply growth only,-0.0029923603869974683,-0.0004681427064527574
2010,Supply growth only,0.001907296944409602,-0.000365802976586739
2010,Supply growth only,-0.001384546514600498,-0.0004674524436302385
2010,Supply growth only,-0.005082117393612869,-0.0006083631301040831
2010,Supply growth only,-0.002798653673380627,-0.0002948039468335674
2010,Supply growth only,-0.007243259344249978,-0.00036891844917937
2010,Supply growth only,0.00040645105764270176,-0.0004836859383501481
2010,Supply growth only,-0.0039082430303096875,-0.0010381715245661918
2010,Supply growth only,0.0011721556074917039,-0.000361625570855509
2010,Supply growth only,-0.0032282234169542894,-0.00032590338125431734
2010,Supply growth only,-0.002568237017840161,-0.001002803950183729
2010,Supply growth only,-0.007723375689238317,-0.0002713212374192464
2010,Supply growth only,-0.0027745128609240194,-0.0003979824733879518
2010,Supply growth only,-0.005163860507309451,-0.0003355658799536373
2010,Supply growth only,-0.0038070301525294885,-0.000311037133880213
2010,Supply growth only,-0.0026298514567315683,-0.0006832700442933979
2010,Supply growth only,0.002934460993856202,-0.000701958059305712
2010,Supply growth only,-0.005487184971570979,-0.000345758635260109
2010,Supply growth only,-0.0005894391797482967,-0.00046695888878211156
2010,Supply growth only,0.0014027417637407988,-0.0002948039468335674
2010,Supply growth only,0.0014156303368509024,-0.0005329308239623944
2010,Supply growth only,-0.0017189825884997983,-0.0006961027834209322
2010,Supply growth only,0.003940159920603002,-0.00047857736559123285
2010,Supply growth only,0.0064074103720486025,-0.0003797983842960426
2010,Supply growth only,0.0010820017196238006,-0.0006976598855782605
2010,Supply growth only,-0.0027725291438400884,-0.0003824440109096289
2010,Supply growth only,0.0009533273987471988,-0.00028525879528182806
2010,Supply growth only,-0.0007568984292447983,-0.0003476609210422715
2010,Supply growth only,0.0053539504297078,-0.00044720894047326973
2010,Supply growth only,-0.005735242273658528,-0.0004240964285109057
2010,Supply growth only,0.0165135734714568,-0.0007720502008398925
2010,Supply growth only,0.0019161351956427028,-0.0002948039468335674
2010,Supply growth only,-0.005739745218306787,-0.0004013985398318798
2010,Supply growth only,0.003869091626256701,-0.00037251993618446424
2010,Supply growth only,-0.006554067134857188,-0.00039647550717403576
2010,Supply growth only,-0.00014643138274549744,-0.0002981388364270445
2010,Supply growth only,0.002592123579233902,-0.0010839691627559866
2010,Supply growth only,0.004873864818364403,-0.0005720526570687336
2010,Supply growth only,0.0020295693539083004,-0.0003257483797266335
2010,Supply growth only,0.0215330892242491,-0.00036928311989789005
2010,Supply growth only,0.027384309563785802,-0.00039723780659453204
2010,Supply growth only,0.001776078250259102,-0.0002888357350085209
2010,Supply growth only,0.009305421728640802,-0.000538519172596329
2010,Supply growth only,0.0002713431604206007,-0.0008023999682084965
2010,Supply growth only,-0.0004412862472235983,-0.00033321151380748905
2010,Supply growth only,-0.002749700564891107,-0.0006799850123801311
2010,Supply growth only,-0.00420907465741039,-0.00041210213605874925
2010,Supply growth only,-0.0007132119499147008,-0.0002948039468335674
2010,Supply growth only,-0.0004680589772761007,-0.0003012901076114813
2010,Supply growth only,-0.00024970388039950026,-0.00040832254783419063
2010,Supply growth only,-0.005512363743036999,-0.0002948039468335674
2010,Supply growth only,5.2924733608902125e-05,-0.0003268348625127292
2010,Supply growth only,0.0009423545561731,-0.000299293569850906
2010,Supply growth only,-0.007590476423501979,-0.0005394193943476723
2010,Supply growth only,0.0045792968012392,-0.0006010072650830354
2010,Supply growth only,-0.0016793389804660996,-0.0003919163348543676
2010,Supply growth only,-0.0005805459804833005,-0.00030196417556546624
2010,Supply growth only,0.0003667692653835028,-0.0006361034538248131
2010,Lagged rent growth only,-0.0012939381413161963,-5.8252565341476606e-05
2010,Lagged rent growth only,-0.00231563346460463,0.00021732546460385028
2010,Lagged rent growth only,0.0040808604098856,-0.0003567297893315196
2010,Lagged rent growth only,-0.0026866109110415086,-0.0006004193243301342
2010,Lagged rent growth only,0.0075741005130112,-0.004757579712990218
2010,Lagged rent growth only,0.002761984709650299,-0.0022051047674711203
2010,Lagged rent growth only,0.0009151655249298035,-0.0010166523358810333
2010,Lagged rent growth only,0.0104422424919903,-0.0024931631674455883
2010,Lagged rent growth only,0.0049379696138203005,-0.001670833272845165
2010,Lagged rent growth only,0.005626664031297,-0.0005189196039191596
2010,Lagged rent growth only,-0.0063988557085395,-0.00026850282207226844
2010,Lagged rent growth only,-0.004664673935621991,-0.00023483535414113034
2010,Lagged rent growth only,-3.300746902819979e-05,-0.0015828916957713879
2010,Lagged rent growth only,0.0046473261900246005,-0.0009473194237503556
2010,Lagged rent growth only,-0.005747474264353528,-0.00036705895428452507
2010,Lagged rent growth only,-0.0010429681278764993,-0.00037428985969186054
2010,Lagged rent growth only,0.0064040482975542025,-0.0015988025048238636
2010,Lagged rent growth only,0.004027052316814602,-0.002739966150137089
2010,Lagged rent growth only,0.00027563096955419975,-0.001526999314040596
2010,Lagged rent growth only,0.003349449019879101,-0.001120635046109162
2010,Lagged rent growth only,-0.0016043479554355006,-0.0010170114620715056
2010,Lagged rent growth only,0.0102738053537905,-0.002222815861908149
2010,Lagged rent growth only,0.0012796144001186033,-0.001135189700597909
2010,Lagged rent growth only,0.0004578907974064003,-0.003294343812026967
2010,Lagged rent growth only,0.0073078223504126,-0.002032166399091399
2010,Lagged rent growth only,0.015166640747338502,-0.0038544067403755104
2010,Lagged rent growth only,-0.0038879141211509774,-0.0011627669664681776
