CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Albuquerque-Santa Fe-Los Alamos, NM",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Coronado Center,,,,,,,,,,,,,4.54%,2.54%,0.75%,Test Comment NP
"Allentown-Bethlehem-East Stroudsburg, PA-NJ",BPREP US,National Logistics Portfolio,9775 Commerce Circle,,,,83.73%,4.61%,,,,,,,,,,,
"Appleton-Oshkosh-Neenah, WI",BPY / CIC/BPY Retail,Core Retail,Fox River Mall,,,,,,,,,,,,,0.94%,0.86%,0.33%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,550 Rock Hill Drive,,,,3.00%,4.31%,0.43%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,600 Wharton Drive,,,,2.91%,4.31%,0.08%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 1000,,,,12.83%,4.31%,0.18%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 200,,,,10.13%,4.31%,0.51%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 400,,,,2.56%,4.31%,0.13%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 600,,,,3.58%,4.31%,0.25%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,National Logistics Portfolio,Atlanta Tradeport 800,,,,3.50%,4.31%,0.22%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPREP US,Vernon Logistics Portfolio,6085 Lagrange Blvd,,,,2.00%,4.31%,0.15%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPY / CIC/BPY Retail,Core Retail,Cumberland Mall,,,,,,,,,,,,,2.91%,3.91%,1.01%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BPY / CIC/BPY Retail,Core Retail,Perimeter Mall,,,,,,,,,,,,,2.76%,3.91%,1.38%,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,BSREP III US Logistics,Falcon - Cross Dock,,,,3.00%,4.31%,0.89%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,BSREP III US Logistics,Falcon - Rear Load,,,,8.96%,4.31%,0.42%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,InterContinental Buckhead Atlanta by IHG,InterCon Buckhead,0.64%,0.43%,2.98%,,,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1035 Fred Drive,,,,3.00%,4.31%,0.19%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1140 Commerce Road,,,,3.00%,4.31%,0.18%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1191 Commerce Road,,,,3.00%,4.31%,0.18%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,Watermark Lodging,Renaissance Atlanta,1.46%,0.43%,1.96%,,,,,,,,,,,,,
