CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,16-24 Normac,,,,3.00%,1.95%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,25 Sycamore,,,,5.19%,1.95%,0.43%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,3-15 Normac,,,,-17.56%,1.95%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,4 Enterprise,,,,2.50%,1.95%,0.15%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,45-47 Dunham,,,,3.17%,1.95%,0.67%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,100,,,,,,,3.19%,3.68%,1.02%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,91 Sidney,,,,,,,1.52%,3.68%,0.73%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,KBL,,,,,,,2.90%,3.68%,0.66%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,Loft23,,,,,,,3.80%,3.68%,0.23%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,1 Industrial Drive,,,,2.85%,1.95%,0.12%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,60 Olympia Ave,,,,16.60%,1.95%,0.68%,,,,,,,,,,
"Cape Coral-Fort Myers-Naples, FL",BPY / CIC/BPY Retail,Core Retail,Coastland Center,,,,,,,,,,,,,9.93%,1.52%,0.19%,
"Cedar Rapids-Iowa City, IA",BPY / CIC/BPY Retail,Core Retail,Coral Ridge Mall,,,,,,,,,,,,,4.10%,0.27%,0.27%,
"Champaign-Urbana-Danville, IL",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Market Place Shopping Center,,,,,,,,,,,,,3.31%,0.25%,0.17%,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations Crossing,,,,18.73%,3.44%,0.38%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations West Distribution Center - Bldg 1,,,,-4.03%,3.44%,0.53%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Reames Road,,,,3.00%,3.44%,0.29%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,Vernon Logistics Portfolio,780 Celriver Road,,,,2.00%,3.44%,0.15%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPY / CIC/BPY Retail,Core Retail,Carolina Place,,,,,,,,,,,,,-11.44%,2.31%,0.41%,
"Charlotte-Concord, NC-SC",BSREP IV,Watermark Lodging,Marriott Charlotte,-9.64%,2.83%,3.21%,,,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2233 West St,,,,11.16%,2.04%,1.46%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2601 Internationale Parkway,,,,2.55%,2.04%,0.70%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,4150 North Knox Ave,,,,2.50%,2.04%,0.30%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,700 Meridian Business Campus,,,,3.50%,2.04%,0.19%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Glendale Heights Bus Ctr Bldg A,,,,31.56%,2.04%,0.33%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Rock Run Inventory Facility IV,,,,-48.46%,2.04%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry A,,,,10.25%,2.04%,0.28%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry B,,,,29.82%,2.04%,0.25%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry Lakes Business Center,,,,4.00%,2.04%,0.14%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,2765 Spectrum Drive,,,,2.00%,2.04%,0.16%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,5501 West Ogden Avenue,,,,2.00%,2.04%,0.11%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Northbrook Court,,,,,,,,,,,,,15.95%,0.36%,0.10%,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Oakbrook Center,,,,,,,,,,,,,5.61%,0.36%,4.67%,
"Chicago-Naperville, IL-IN-WI",Brookfield US REIT (NTR),6123-6227 Monroe Ct,6123-6227 Monroe Court,,,,6.81%,2.04%,0.35%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,1251 S Michigan,,,,,,,3.15%,2.97%,0.11%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,Sky55,,,,,,,2.13%,2.97%,1.71%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Pavilion,,,,,,,2.16%,2.97%,1.88%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,BSREP IV North American Logistics Portfolio,2501 W Fulton Street,,,,-74.38%,2.04%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,BSREP IV North American Logistics Portfolio,700 Chase Avenue,,,,-49.12%,2.04%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,Watermark Lodging,Renaissance Chicago,0.18%,4.88%,6.01%,,,,,,,,,,,,,
"Cincinnati-Wilmington, OH-KY-IN",BPY / CIC/BPY Retail,Core Retail,Kenwood Towne Centre,,,,,,,,,,,,,1.03%,1.76%,1.96%,
"Cleveland-Akron-Canton, OH",BPREP US,Vernon Logistics Portfolio,31600 Carter Street,,,,2.00%,2.08%,0.07%,,,,,,,,,,
"Columbia-Jefferson City-Moberly, MO",BPY / CIC/BPY Retail,Core Retail,Columbia Mall MO,,,,,,,,,,,,,-1.03%,0.56%,0.13%,
