CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,BSREP III US Logistics,Falcon - Rear Load,,,,-43.39%,2.12%,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP III,InterContinental Buckhead Atlanta by IHG,InterCon Buckhead,-2.61%,0.84%,2.89%,,,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1035 Fred Drive,,,,3.00%,2.12%,0.20%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1140 Commerce Road,,,,3.00%,2.12%,0.21%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,BSREP IV North American Logistics Portfolio,1191 Commerce Road,,,,3.00%,2.12%,0.25%,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP IV,Watermark Lodging,Renaissance Atlanta,6.32%,0.84%,1.93%,,,,,,,,,,,,,
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",BSREP V,BSREP V North American Logistics Portfolio,4106 Stacks,,,,4.00%,2.12%,0.11%,,,,,,,,,,
"Baton Rouge-Hammond, LA",BPY / CIC/BPY Retail,Core Retail,Mall of Louisiana,,,,,,,,,,,,,0.40%,1.41%,1.06%,
"Birmingham-Cullman-Talladega, AL",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Riverchase Galleria,,,,,,,,,,,,,-3.10%,1.98%,0.29%,
"Boise City-Mountain Home-Ontario, ID-OR",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Boise Towne Square,,,,,,,,,,,,,4.45%,0.61%,0.57%,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,Church Park,Church Park,,,,,,,0.81%,3.23%,4.95%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,23 Concord Street,,,,3.00%,1.34%,0.31%,,,,,,,,,,
