met_name,year,real_rent_growth,real_rent_growth_next_year,density_rented,bedroom_density_rented,real_relative_rent_growth_next_year,supply_growth
"Nashville-Davidson--Murfreesboro--Franklin, TN",2006,-0.0015812323122053017,-0.011252464676197997,2.264661638260925,0.741851932540053,0.002329175360500802,0.018650312638767208
"Memphis, TN-MS-AR",2009,-0.06704244828181839,-0.01935117857860804,2.6021364148816235,0.8111842521456135,-0.011984143638983369,0.002674734718933614
"Richmond, VA",2012,-0.0071676485988975015,0.007497304463449499,2.4411482232419166,0.7698436402337193,0.001513191498816048,0.012147722809821102
"St. Louis, MO-IL",2014,0.00019630451379871062,0.027325370052959402,2.2665995773949295,0.7487836226402942,0.0008061751723289004,0.0078095679184866365
"Reno, NV",2009,-0.0940206504459915,-0.01289129365099996,2.4893552165054307,0.8287391376335931,-0.005524258711375289,0.011271891690473233
"Tampa-St. Petersburg-Clearwater, FL",2015,0.0520817569290657,0.012667118091665302,2.4988819020601647,0.8270613052862725,0.007420351728797002,0.015040193620883395
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,0.011015019581146198,-0.02170284736009169,2.2900596118326035,0.7779829201842372,-0.0027725291438400884,0.0035090030894483724
"Omaha-Council Bluffs, NE-IA",2022,0.002499627667339299,-0.005593852162744502,2.0653570131125294,0.6944388107858954,0.009883395396173047,0.02766740834922653
"Seattle-Tacoma-Bellevue, WA",2010,0.0120410949145031,-0.0096248964876108,2.253455230914232,0.7611090490163808,0.009305421728640802,0.009758065436886553
"Winston-Salem, NC",2018,0.030794697628274897,0.0206018231001854,2.3409641485681645,0.7350255594344041,0.007566189393401153,0.0044892290798695215
"Boise City, ID",2005,,0.034346255225059505,2.3146245343794427,0.743498592493685,0.020967209711670907,
"Chattanooga, TN-GA",2015,0.020062905440237,0.002673592869721398,2.4621541648172807,0.7786428481193298,-0.0025731734931469016,0.06410385936552838
"Bridgeport-Stamford-Norwalk, CT",2009,-0.0835218436117706,-0.001392775944941001,2.325636845323008,0.804882091357598,0.00597425899468367,0.019899177500663306
"Bakersfield, CA",2024,-0.0148228726364498,-0.02024200980916619,3.0712678304060534,0.9138881330067923,-0.0010435427539050544,0.017036434738839198
"Indianapolis-Carmel-Anderson, IN",2014,0.0027761667656765006,0.021644753107931097,2.386783747921973,0.7816427087287475,-0.004874441772699405,0.02897859141487539
"El Paso, TX",2016,-0.014072032194055561,-0.0036794904136248016,2.9132997803297833,0.9000197578093457,-0.005530558526516002,0.01830912617684629
"Fayetteville-Springdale-Rogers, AR-MO",2006,0.04244310663354109,-0.0155067331585255,2.381547405575794,0.752838688505027,-0.0019250931218267008,0.06717578843162211
"Oxnard-Thousand Oaks-Ventura, CA",2008,-0.00708930023700118,-0.0804304189081726,3.094812516641391,0.9561573870403554,-0.02091345377266405,0.015097236438075742
"Richmond, VA",2008,0.0106312961621571,-0.0389412154476581,2.332619833241892,0.7369587773586748,0.020575749687850448,0.008125886753514769
"Milwaukee-Waukesha-West Allis, WI",2017,-0.01251404709007215,0.0072831016042385,2.2240138913395677,0.7654412830298053,-0.006182910874486001,0.032218888412630375
"Chicago-Naperville-Elgin, IL-IN-WI",2013,0.001514715486827899,0.013506289913044898,2.4968538544749332,0.8464180735339907,0.0012342398986219978,0.011065806276147961
"Detroit-Warren-Dearborn, MI",2017,0.006727199304740899,0.013080137596384,2.2956314029609466,0.7428048168156758,-0.0003858748823405006,0.009813928661728488
"Salt Lake City, UT",2020,0.011784819766148598,0.06040430869765501,2.2466232839213567,0.7308764944730144,0.04308214783668545,0.04540270461087275
"Spokane-Spokane Valley, WA",2008,0.00910459676071882,-0.0988640493746338,2.145805978808513,0.7139062015858261,-0.03934708423912526,0.034115680860340065
"San Antonio-New Braunfels, TX",2011,-0.014056453397887199,0.004989615566682801,2.5922013448968486,0.8464195153195522,0.006253582425415502,0.014555325197170154
