test,coefficient,std_error,pvalue
fwd_rdi_lag1,0.04634575830117804,0.012214228385319477,0.00015325368593921418
fwd_delta_rdi,0.03433821594540412,0.01232960881685926,0.005412600701026227
rev_rent_growth,-0.022535982141388525,0.09987505947636494,0.821509275275025
