met_name,year,real_rent_growth_next_year,rdi_lag1,delta_rdi,supply_lag1,delta_supply,real_rent_growth,bedroom_density_rented,forecast_rent_ardl
"Akron, OH",2007,0.0138511157898593,2.0876896734958965,0.00491928506031547,0.002640347017036525,0.02557458808861273,-0.0197184457871284,0.6754243077084756,-0.01111127116354775
"Akron, OH",2008,-0.0505163415368137,2.092608958556212,0.013226781152336997,0.028214935105649257,-0.028214935105649257,0.0138511157898593,0.6886797632512326,-0.002502552901723666
"Akron, OH",2009,-0.012297787269153,2.105835739708549,0.09738484722291663,0.0,0.015336300993963046,-0.0505163415368137,0.6975228939335462,-0.01624978427651897
"Akron, OH",2010,-0.020224256357567798,2.2032205869314656,0.029697352807855015,0.015336300993963046,-0.009030184060537624,-0.012297787269153,0.7259982438646883,-0.006521798879224612
"Akron, OH",2011,-0.007404311634945902,2.2329179397393206,0.08988056302507097,0.0063061169334254225,-0.010662895304706495,-0.020224256357567798,0.730331942889843,-0.0037499265346191413
"Akron, OH",2012,-0.0018447671368089,2.3227985027643916,-0.15248053450770538,-0.004356778371281072,0.007923390090148148,-0.007404311634945902,0.6838193638889638,0.0001213535006165875
"Akron, OH",2013,0.018366286872612,2.170317968256686,0.0754330364318605,0.0035666117188670765,0.0061395165812165465,-0.0018447671368089,0.7242724738252587,-0.00238168288622935
"Akron, OH",2014,0.0262900410985012,2.2457510046885467,-0.0813581698624688,0.009706128300083623,-0.00920330360843347,0.018366286872612,0.6860948796672279,0.004829748724802789
"Akron, OH",2015,-0.0090981363462582,2.164392834826078,0.03553928698441844,0.0005028246916501523,0.01235710553953296,0.0262900410985012,0.7206201404142355,0.00430629720473473
"Akron, OH",2016,-0.004422868367392498,2.1999321218104964,-0.03804658198712474,0.012859930231183113,0.002580366315911251,-0.0090981363462582,0.6966217576896031,-0.006152100899437914
"Akron, OH",2017,0.004846769199625001,2.1618855398233716,0.008054797401012337,0.015440296547094364,-0.010208908217114485,-0.004422868367392498,0.7002749157003318,-0.004690629957691858
"Akron, OH",2018,0.009443386563396501,2.169940337224384,0.0037055205948846037,0.005231388329979879,-0.004659502249687073,0.004846769199625001,0.7130341229129871,-0.0013853980452933345
"Akron, OH",2019,0.0178043114684668,2.1736458578192686,0.03376592052282801,0.0005718860802928057,0.00562953138655676,0.009443386563396501,0.7029299653719163,0.001984432112094772
"Akron, OH",2020,0.0018631523460884009,2.2074117783420966,-0.1997241370251608,0.006201417466849566,0.0006150215118206608,0.0178043114684668,0.633025098156501,0.0031390427273900665
"Akron, OH",2021,-0.0120443713191433,2.007687641316936,0.006455922776077649,0.006816438978670227,0.012817401186073489,0.0018631523460884009,0.6630523129528161,-0.007301071712142393
"Akron, OH",2022,0.0009836917515735968,2.0141435640930134,0.02217581378146294,0.019633840164743715,-0.007571314227546316,-0.0120443713191433,0.6459987699036425,-0.009690220417911219
"Akron, OH",2023,0.007028964998590497,2.0363193778744764,0.038950461383703505,0.012062525937197399,-0.0007725119955336937,0.0009836917515735968,0.6618378640547796,-0.004836737812638207
"Akron, OH",2024,-0.0006221775281429025,2.07526983925818,-0.11942573724675998,0.011290013941663705,-0.0016938632145187624,0.007028964998590497,0.637943971985993,-0.004501481560483467
"Albany-Schenectady-Troy, NY",2007,0.00798022917717576,2.037961856259419,-0.01829789075499555,0.0253592561284869,-0.005767577742375653,-0.009017247656282396,0.6719391540934949,-0.01261119212499176
"Albany-Schenectady-Troy, NY",2008,-0.058368888407522204,2.0196639655044235,-0.0068634516486700825,0.019591678386111245,-0.008557195627490556,0.00798022917717576,0.6969248316902147,-0.008970403110987249
"Albany-Schenectady-Troy, NY",2009,0.003041076675481799,2.0128005138557534,0.06869148072690745,0.011034482758620689,9.126405419391387e-05,-0.058368888407522204,0.6827701623332167,-0.023358493191503543
"Albany-Schenectady-Troy, NY",2010,-0.02124595168085623,2.081491994582661,0.013026931869038805,0.011125746812814603,-0.007520005542197904,0.003041076675481799,0.7039387185057698,-0.005823578549533956
"Albany-Schenectady-Troy, NY",2011,-0.00949968591367006,2.0945189264516997,0.030114775599568766,0.003605741270616698,-0.0005228985651324829,-0.02124595168085623,0.7227440908111215,-0.012230703204421836
"Albany-Schenectady-Troy, NY",2012,-0.0002077758594717996,2.1246337020512684,0.03663093257030692,0.003082842705484215,0.030077180402545825,-0.00949968591367006,0.718702549207968,-0.009564868417852333
"Albany-Schenectady-Troy, NY",2013,0.003472113392041701,2.1612646346215754,-0.031069634333478646,0.03316002310803004,-0.010145037646164687,-0.0002077758594717996,0.701577791633909,-0.008507108164106436
"Albany-Schenectady-Troy, NY",2014,0.019993756601716997,2.1301950002880967,-0.07461104002222863,0.023014985461865353,-0.003928429131381521,0.003472113392041701,0.6872490177776813,-0.007725508644933619
"Albany-Schenectady-Troy, NY",2015,0.0049622733933554,2.055583960265868,0.04139286560551003,0.019086556330483832,0.0006079429400902697,0.019993756601716997,0.7173226630304181,-0.004687152412385105
"Albany-Schenectady-Troy, NY",2016,-0.0099100859352536,2.096976825871378,0.025255138157225243,0.019694499270574102,0.025266577943816808,0.0049622733933554,0.7173116920190857,-0.00989700033908715
"Albany-Schenectady-Troy, NY",2017,0.0004026971765908986,2.1222319640286034,-0.016323795271099062,0.04496107721439091,-0.004713025187894446,-0.0099100859352536,0.7252609365197057,-0.01739016510763538
"Albany-Schenectady-Troy, NY",2018,0.009637712606525399,2.1059081687575043,-0.039777461307195505,0.040248052026496464,-0.021589746758041387,0.0004026971765908986,0.6956374342999154,-0.011085693800905398
"Albany-Schenectady-Troy, NY",2019,0.022768720864519098,2.066130707450309,-0.04616476883929144,0.018658305268455078,-0.0065739427375791516,0.009637712606525399,0.6918800638713112,-0.007261506382028639
"Albany-Schenectady-Troy, NY",2020,-0.021200403013751992,2.0199659386110174,-0.24856842629829634,0.012084362530875926,0.021351600372289316,0.022768720864519098,0.6251735585505642,-0.008172283299563765
"Albany-Schenectady-Troy, NY",2021,-0.001967427534191095,1.771397512312721,0.15058032948804256,0.033435962903165244,-0.019992905152515797,-0.021200403013751992,0.662572773592371,-0.0221629503521317
"Albany-Schenectady-Troy, NY",2022,-0.001407288968946499,1.9219778418007636,-0.06240522950246441,0.013443057750649445,0.005611560708848289,-0.001967427534191095,0.6502957111543075,-0.014319297564809173
"Albany-Schenectady-Troy, NY",2023,0.0020123568348760987,1.8595726122982992,0.01192107120259478,0.019054618459497734,-0.0022032552229102227,-0.001407288968946499,0.6401282266574098,-0.014060014421719773
"Albany-Schenectady-Troy, NY",2024,0.007384346766471896,1.871493683500894,-0.09749728526490742,0.01685136323658751,0.004097294388654669,0.0020123568348760987,0.6464070270619389,-0.016950562691089195
"Albuquerque, NM",2007,0.015876536567358997,2.282702812057455,0.04436202922432608,0.01021355617455896,-0.004249978883177291,-0.003604512611326195,0.7870073572060934,-0.004439288989944938
