CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Boston-Worcester-Providence, MA-RI-NH",BPY / CIC/BPY Retail,Core Retail,Natick Mall,,,,,,,,,,,,,-0.58%,1.55%,1.44%,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,1 & 3 Air Force Road,,,,2.00%,3.03%,0.48%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,16-24 Normac,,,,3.00%,3.03%,-0.23%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,25 Sycamore,,,,5.26%,3.03%,0.41%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,3-15 Normac,,,,-12.61%,3.03%,-0.25%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,4 Enterprise,,,,2.50%,3.03%,0.49%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,45-47 Dunham,,,,3.17%,3.03%,0.96%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,100,,,,,,,3.79%,2.53%,0.99%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,91 Sidney,,,,,,,1.56%,2.53%,0.71%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,KBL,,,,,,,1.85%,2.53%,0.64%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,Loft23,,,,,,,3.49%,2.53%,0.22%,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,1 Industrial Drive,,,,2.84%,3.03%,0.17%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP IV,BSREP IV North American Logistics Portfolio,60 Olympia Ave,,,,14.60%,3.03%,0.67%,,,,,,,,,,
"Cape Coral-Fort Myers-Naples, FL",BPY / CIC/BPY Retail,Core Retail,Coastland Center,,,,,,,,,,,,,4.89%,2.20%,0.19%,
"Cedar Rapids-Iowa City, IA",BPY / CIC/BPY Retail,Core Retail,Coral Ridge Mall,,,,,,,,,,,,,4.42%,0.29%,0.30%,
"Champaign-Urbana-Danville, IL",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Market Place Shopping Center,,,,,,,,,,,,,0.58%,0.30%,0.17%,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations Crossing,,,,14.83%,4.25%,0.40%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Nations West Distribution Center - Bldg 1,,,,-1.72%,4.25%,0.52%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,National Logistics Portfolio,Reames Road,,,,3.00%,4.25%,0.30%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPREP US,Vernon Logistics Portfolio,780 Celriver Road,,,,2.00%,4.25%,0.15%,,,,,,,,,,
"Charlotte-Concord, NC-SC",BPY / CIC/BPY Retail,Core Retail,Carolina Place,,,,,,,,,,,,,-17.78%,2.93%,0.41%,
"Charlotte-Concord, NC-SC",BSREP IV,Watermark Lodging,Marriott Charlotte,-3.50%,7.56%,2.98%,,,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2233 West St,,,,6.60%,2.64%,1.52%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,2601 Internationale Parkway,,,,2.51%,2.64%,0.71%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,4150 North Knox Ave,,,,2.50%,2.64%,0.16%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,700 Meridian Business Campus,,,,3.50%,2.64%,0.20%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Glendale Heights Bus Ctr Bldg A,,,,24.73%,2.64%,0.35%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Rock Run Inventory Facility IV,,,,-22.91%,2.64%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry A,,,,6.77%,2.64%,0.30%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry B,,,,20.68%,2.64%,0.27%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,National Logistics Portfolio,Turnberry Lakes Business Center,,,,8.64%,2.64%,0.14%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,2765 Spectrum Drive,,,,2.00%,2.64%,0.17%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPREP US,Vernon Logistics Portfolio,5501 West Ogden Avenue,,,,2.00%,2.64%,0.11%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Northbrook Court,,,,,,,,,,,,,7.10%,0.42%,0.10%,
"Chicago-Naperville, IL-IN-WI",BPY / CIC/BPY Retail,Core Retail,Oakbrook Center,,,,,,,,,,,,,4.55%,0.42%,4.33%,
"Chicago-Naperville, IL-IN-WI",Brookfield US REIT (NTR),6123-6227 Monroe Ct,6123-6227 Monroe Court,,,,9.37%,2.64%,0.34%,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,1251 S Michigan,,,,,,,4.83%,3.56%,0.11%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,Sky55,,,,,,,1.75%,3.56%,1.66%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Pavilion,,,,,,,2.80%,3.56%,1.96%,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,BSREP IV North American Logistics Portfolio,2501 W Fulton Street,,,,-49.06%,2.64%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,BSREP IV North American Logistics Portfolio,700 Chase Avenue,,,,-23.25%,2.64%,,,,,,,,,,,
"Chicago-Naperville, IL-IN-WI",BSREP IV,Watermark Lodging,Renaissance Chicago,5.77%,7.74%,7.44%,,,,,,,,,,,,,
"Cincinnati-Wilmington, OH-KY-IN",BPY / CIC/BPY Retail,Core Retail,Kenwood Towne Centre,,,,,,,,,,,,,2.05%,1.43%,1.94%,
"Cleveland-Akron-Canton, OH",BPREP US,Vernon Logistics Portfolio,31600 Carter Street,,,,2.00%,2.90%,0.07%,,,,,,,,,,
"Cleveland-Akron-Canton, OH",BPY / CIC/BPY Retail,Core Retail,Beachwood Place,,,,,,,,,,,,,2.32%,0.96%,0.38%,
"Columbia-Jefferson City-Moberly, MO",BPY / CIC/BPY Retail,Core Retail,Columbia Mall MO,,,,,,,,,,,,,2.23%,0.52%,0.13%,
"Columbia-Sumter-Orangeburg, SC",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Columbiana Centre,,,,,,,,,,,,,3.22%,3.09%,0.40%,
"Columbus-Auburn-Opelika, GA-AL",BPY / CIC/BPY Retail,Core Retail,Peachtree Mall,,,,,,,,,,,,,52.74%,2.88%,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Alliance Gateway,,,,27.17%,1.67%,0.54%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 I,,,,2.50%,1.67%,1.88%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 II,,,,22.48%,1.67%,1.05%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star A,,,,4.00%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star B,,,,4.38%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star C,,,,3.35%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 1,,,,3.00%,1.67%,0.34%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 2,,,,9.79%,1.67%,0.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 100,,,,3.00%,1.67%,0.90%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 200,,,,3.76%,1.67%,1.30%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 300,,,,2.25%,1.67%,1.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Sterling Street 1,,,,3.68%,1.67%,0.49%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,2080 Lonestar Drive,,,,2.00%,1.67%,0.06%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,950 Solon Road,,,,2.00%,1.67%,0.50%,,,,,,,,,,
