YEAR,MET_NAME,PPL_IN_RENTALS,RENTAL_UNITS,PPL_PER_RENTAL,costar_name
2008,"Hartford-West Hartford-East Hartford, CT",308494.0,145869.0,2.1148701917473898,Hartford - CT USA
2011,"East Stroudsburg, PA",27350.0,10958.0,2.4958934112064246,East Stroudsburg - PA USA
2011,"Gulfport-Biloxi-Pascagoula, MS",104084.0,42811.0,2.4312443063698583,Gulfport-Biloxi-Pascagoula - MS USA
2022,"Asheville, NC",134216.0,65301.0,2.0553437160227257,
2006,"Buffalo-Cheektowaga-Niagara Falls, NY",310977.0,152947.0,2.0332337345616454,Buffalo - NY USA
2019,"Decatur, IL",23721.0,14118.0,1.6801954951126221,Decatur - IL USA
2011,"Atlantic City-Hammonton, NJ",74085.0,32916.0,2.250729128691214,Atlantic City - NJ USA
2018,"Punta Gorda, FL",25220.0,12287.0,2.0525758932204767,Punta Gorda - FL USA
2012,"Greensboro-High Point, NC",247428.0,109667.0,2.256175513144337,Greensboro - NC USA
2021,"El Paso, TX",266285.0,104748.0,2.5421487761102837,El Paso - TX USA
2013,"San Francisco-Oakland-Hayward, CA",1810218.0,766471.0,2.3617566744208194,San Francisco - CA USA
2006,"Iowa City, IA",37008.0,19766.0,1.8723059799655974,Iowa City - IA USA
2017,"Gainesville, GA",54287.0,19110.0,2.840763997906855,Gainesville - GA USA
2013,"San Angelo, TX",33217.0,16469.0,2.016940919302933,San Angelo - TX USA
2006,"Ocean City, NJ",28991.0,12883.0,2.250329892105876,Ocean City - NJ USA
2020,"Manchester-Nashua, NH",121414.0,60137.0,2.018956715499609,Manchester - NH USA
2016,"Anniston-Oxford-Jacksonville, AL",33523.0,13884.0,2.41450590607894,Anniston-Oxford - AL USA
2014,"Des Moines-West Des Moines, IA",179648.0,78122.0,2.2995827039758328,
2008,"San Francisco-Oakland-Hayward, CA",1483664.0,675059.0,2.1978286342378963,San Francisco - CA USA
2005,"Sacramento--Roseville--Arden-Arcade, CA",679772.0,275793.0,2.464790621951971,Sacramento - CA USA
2012,"Springfield, IL",50398.0,23509.0,2.1437747245735674,Springfield - IL USA
2021,"Palm Bay-Melbourne-Titusville, FL",128652.0,59119.0,2.176153182563981,Melbourne - FL USA
2014,"Glens Falls, NY",31026.0,13834.0,2.2427352898655486,Glens Falls - NY USA
2015,"Fayetteville-Springdale-Rogers, AR-MO",170884.0,69292.0,2.466143277723258,Northwest Arkansas - AR USA
2022,"Nashville-Davidson--Murfreesboro--Franklin, TN",656000.0,293888.0,2.232142857142857,Nashville - TN USA
2009,"Omaha-Council Bluffs, NE-IA",257269.0,120502.0,2.134977012829663,Omaha - NE USA
2006,"Salinas, CA",171794.0,60068.0,2.859992009056403,Salinas - CA USA
2019,"Bend-Redmond, OR",55612.0,22857.0,2.433040206501291,Bend - OR USA
2006,"Worcester, MA-CT",202046.0,96535.0,2.0929818200652615,Worcester - MA USA
2012,"Sebastian-Vero Beach, FL",32516.0,15421.0,2.108553271512872,
2022,"Stockton-Lodi, CA",258069.0,88078.0,2.9300052226435658,Stockton - CA USA
2007,"Winston-Salem, NC",175287.0,73469.0,2.385863425390301,Winston-Salem - NC USA
2018,"Topeka, KS",65568.0,30439.0,2.1540786491014816,
2014,"Oklahoma City, OK",450582.0,192842.0,2.336534572344199,Oklahoma City - OK USA
2005,"Stockton-Lodi, CA",222419.0,75666.0,2.939484048317606,Stockton - CA USA
2015,"Portland-South Portland, ME",123877.0,61179.0,2.0248287811177037,Portland - ME USA
2008,"Altoona, PA",25978.0,14376.0,1.807039510294936,Altoona - PA USA
2006,"Bellingham, WA",61608.0,28289.0,2.1778076284068013,Bellingham - WA USA
2012,"Miami-Fort Lauderdale-West Palm Beach, FL",1839927.0,763222.0,2.4107363257348453,Miami - FL USA
2019,"Dover, DE",51979.0,22000.0,2.362681818181818,Dover - DE USA
2008,"Williamsport, PA",28911.0,15024.0,1.9243210862619808,Williamsport - PA USA
2015,"Indianapolis-Carmel-Anderson, IN",595611.0,270007.0,2.205909476420982,Indianapolis - IN USA
2015,"Greenville-Anderson-Mauldin, SC",270711.0,119255.0,2.270018028594189,Greenville - SC USA
2011,"Napa, CA",62842.0,23184.0,2.710576259489303,Napa - CA USA
2016,"Kansas City, MO-KS",657703.0,298985.0,2.199785942438584,Kansas City - MO USA
2020,"Rochester, NY",319875.0,162072.0,1.973659854879313,Rochester - NY USA
2007,"Palm Bay-Melbourne-Titusville, FL",103915.0,49238.0,2.1104634631788457,Melbourne - FL USA
2005,"Kankakee, IL",25088.0,10802.0,2.322532864284392,Kankakee - IL USA
2022,"Coeur d'Alene, ID",44756.0,20852.0,2.146364857088049,
2019,"Chico, CA",71461.0,31215.0,2.289316033958033,Chico - CA USA
2010,"Redding, CA",54202.0,22873.0,2.36969352511695,Redding - CA USA
2009,"Santa Cruz-Watsonville, CA",95068.0,36191.0,2.626840927302368,Santa Cruz - CA USA
2005,"San Diego-Carlsbad, CA",1107321.0,435138.0,2.544758214635357,San Diego - CA USA
2010,"Kalamazoo-Portage, MI",94983.0,40893.0,2.322720269972856,Kalamazoo - MI USA
2005,"Eugene, OR",108775.0,51913.0,2.0953325756554233,Eugene - OR USA
2020,"Jefferson City, MO",34368.0,15840.0,2.16969696969697,
2009,"Merced, CA",107879.0,34188.0,3.1554639054639053,Merced - CA USA
2016,"Lubbock, TX",126657.0,48770.0,2.597026860775067,Lubbock - TX USA
2014,"Racine, WI",53647.0,23251.0,2.3072986108124383,Racine - WI USA
2014,"Knoxville, TN",244284.0,109455.0,2.231821296423188,Knoxville - TN USA
2007,"Pensacola-Ferry Pass-Brent, FL",109212.0,46701.0,2.338536648037515,Pensacola - FL USA
2014,"North Port-Sarasota-Bradenton, FL",211991.0,93968.0,2.2559914013281115,Sarasota - FL USA
2014,"Ithaca, NY",34649.0,18146.0,1.9094566295602338,
2017,"Midland, TX",49699.0,19333.0,2.5706822531422957,Midland - TX USA
2023,"Youngstown-Warren-Boardman, OH-PA",143351.0,70071.0,2.0457964065019767,Youngstown - OH USA
2014,"Auburn-Opelika, AL",55750.0,24375.0,2.287179487179487,Auburn-Opelika - AL USA
2012,"Muskegon, MI",41578.0,16809.0,2.4735558331846037,Muskegon - MI USA
2017,"Oshkosh-Neenah, WI",46112.0,24796.0,1.859654783029521,
2010,"Athens-Clarke County, GA",56534.0,25507.0,2.2164111812443643,Athens - GA USA
2020,"Saginaw, MI",42024.0,18732.0,2.2434336963484944,Saginaw - MI USA
2017,"Merced, CA",134048.0,41273.0,3.247837569355269,Merced - CA USA
2009,"Ogden-Clearfield, UT",107697.0,40747.0,2.643065747171571,Ogden - UT USA
2021,"New York-Newark-Jersey City, NY-NJ-PA",8303254.0,3547631.0,2.3405066648701625,New York - NY USA
2012,"Pittsfield, MA",32265.0,17610.0,1.832197614991482,Pittsfield - MA USA
2019,"Spokane-Spokane Valley, WA",218354.0,94538.0,2.309695572150881,Spokane - WA USA
2017,"Austin-Round Rock, TX",698420.0,318978.0,2.1895553925349085,Austin - TX USA
2013,"Decatur, AL",37823.0,15884.0,2.3812012087635357,Decatur - AL USA
2006,"Trenton, NJ",91509.0,39627.0,2.3092588386706034,Trenton - NJ USA
2014,"Mobile, AL",126016.0,52185.0,2.41479352304302,Mobile - AL USA
2020,"Fort Collins, CO",95188.0,48350.0,1.968728024819028,Fort Collins - CO USA
2020,"Burlington, NC",31783.0,15468.0,2.0547582104990947,Burlington - NC USA
2021,"Laredo, TX",79012.0,27836.0,2.8384825405949132,Laredo - TX USA
2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1881717.0,794521.0,2.368366600756934,Washington - DC USA
2020,"Dover, DE",48115.0,20095.0,2.3943767106245333,Dover - DE USA
2023,"Muncie, IN",31399.0,15532.0,2.0215683749678086,Muncie - IN USA
2020,"Rockford, IL",96091.0,45921.0,2.092528472812003,Rockford - IL USA
2023,"Lawrence, KS",49805.0,25958.0,1.9186763232914708,
2014,"Saginaw, MI",41562.0,19988.0,2.079347608565139,Saginaw - MI USA
2010,"Jackson, TN",33440.0,13852.0,2.4140918278948886,Jackson - TN USA
2006,"Tucson, AZ",279802.0,126576.0,2.2105454430539755,Tucson - AZ USA
2017,"Trenton, NJ",114187.0,47676.0,2.3950625052437284,Trenton - NJ USA
2015,"Salt Lake City, UT",331668.0,129996.0,2.5513708114095817,Salt Lake City - UT USA
2011,"Miami-Fort Lauderdale-West Palm Beach, FL",1780706.0,746429.0,2.385633462794184,Miami - FL USA
2007,"Dallas-Fort Worth-Arlington, TX",1863327.0,775077.0,2.4040540488235362,Dallas-Fort Worth - TX USA
2011,"Reno, NV",164258.0,68575.0,2.3953044112285817,Reno - NV USA
2007,"San Diego-Carlsbad, CA",1162128.0,461069.0,2.5205077764933232,San Diego - CA USA
2015,"Lynchburg, VA",71058.0,31758.0,2.2374834687322878,Lynchburg - VA USA
2007,"Peoria, IL",80916.0,38596.0,2.096486682557778,Peoria - IL USA
2019,"Santa Cruz-Watsonville, CA",105429.0,38702.0,2.7241227843522298,Santa Cruz - CA USA
2019,"Muskegon, MI",35576.0,17168.0,2.072227399813607,Muskegon - MI USA
2010,"Tallahassee, FL",116831.0,53990.0,2.1639377662530097,Tallahassee - FL USA
2012,"Lafayette-West Lafayette, IN",67199.0,30310.0,2.2170570768723192,
2013,"Wichita Falls, TX",39843.0,19116.0,2.0842749529190208,Wichita Falls - TX USA
2021,"Lubbock, TX",116934.0,54462.0,2.1470750247879256,Lubbock - TX USA
2012,"Modesto, CA",234077.0,75615.0,3.0956423989949085,Modesto - CA USA
2021,"Lancaster, PA",154870.0,64369.0,2.4059718187326196,Lancaster - PA USA
2008,"Salt Lake City, UT",259667.0,102309.0,2.5380660547947884,Salt Lake City - UT USA
2018,"Fayetteville-Springdale-Rogers, AR-MO",187766.0,76523.0,2.4537197966624413,Northwest Arkansas - AR USA
2022,"Pittsfield, MA",31230.0,17419.0,1.7928698547563007,Pittsfield - MA USA
2014,"Atlanta-Sandy Springs-Roswell, GA",1831738.0,736624.0,2.486666196051174,Atlanta - GA USA
2009,"Gulfport-Biloxi-Pascagoula, MS",94881.0,37336.0,2.54127383758303,Gulfport-Biloxi-Pascagoula - MS USA
2020,"Charlotte-Concord-Gastonia, NC-SC",729591.0,346913.0,2.1030950122941485,Charlotte - NC USA
2023,"Palm Bay-Melbourne-Titusville, FL",136898.0,60013.0,2.2811390865312515,Melbourne - FL USA
2013,"Lansing-East Lansing, MI",147064.0,66503.0,2.211388959896546,Lansing - MI USA
2009,"Kankakee, IL",27663.0,12208.0,2.2659731323722148,Kankakee - IL USA
2006,"Joplin, MO",47264.0,19612.0,2.4099530899449317,Joplin - MO USA
2008,"Jackson, MI",28700.0,12255.0,2.3419012647898816,Jackson - MI USA
2021,"Atlantic City-Hammonton, NJ",76495.0,33757.0,2.266048523269248,Atlantic City - NJ USA
2018,"Bloomington, IL",46774.0,23365.0,2.0018831585705112,Bloomington - IL USA
2016,"El Centro, CA",57932.0,18055.0,3.208640265854334,El Centro - CA USA
2009,"Grand Junction, CO",35061.0,14004.0,2.503641816623822,Grand Junction - CO USA
2015,"Deltona-Daytona Beach-Ormond Beach, FL",167067.0,73090.0,2.2857709673005884,Daytona Beach - FL USA
2015,"Olympia-Tumwater, WA",90041.0,38690.0,2.3272421814422333,Olympia - WA USA
2023,"Wilmington, NC",88013.0,46371.0,1.8980181579004118,
2008,"Grand Rapids-Wyoming, MI",175931.0,79092.0,2.22438426136651,Grand Rapids - MI USA
2017,"Corpus Christi, TX",172121.0,67485.0,2.550507520189672,Corpus Christi - TX USA
2005,"Hammond, LA",30097.0,13429.0,2.241194429965001,Hammond - LA USA
2013,"Owensboro, KY",29339.0,12970.0,2.262066306861989,Owensboro - KY USA
2015,"New York-Newark-Jersey City, NY-NJ-PA",8414067.0,3493505.0,2.408488609576915,New York - NY USA
2008,"Dallas-Fort Worth-Arlington, TX",1940636.0,806849.0,2.4052034519470187,Dallas-Fort Worth - TX USA
2010,"Tampa-St. Petersburg-Clearwater, FL",784946.0,361242.0,2.172909019438493,Tampa - FL USA
